date,symbol,close,congestion_score,congestion_status,rs_vs_spy_pct,pct_below_52w_high,pct_above_ema20
2026-08-04,RF,31.95,4,BOTH,8.91,1.6,3.29
2026-08-04,MTB,253.06,3,BOTH,11.33,0.76,2.7
2026-08-04,FULT,24.88,3,BOTH,10.58,1.39,2.13
2026-08-04,PTGX,135.81,2,PRE_BREAKOUT,28.76,5.22,1.86
2026-08-04,PRU,123.54,2,BOTH,20.53,0.83,3.79
2026-08-04,JAZZ,261.62,2,BOTH,18.04,0.15,4.54
2026-08-04,CDP,37.81,2,BOTH,16.83,2.8,1.26
2026-08-04,MPC,312.61,2,BOTH,16.56,4.38,3.39
2026-08-04,VLO,308.73,2,BOTH,16.05,0.43,4.3
2026-08-04,MET,96.13,2,BOTH,13.98,0.75,2.17
2026-08-04,AMGN,390.02,2,PRE_BREAKOUT,11.44,0.94,3.29
2026-08-04,GL,129.55,2,BOTH,10.19,0.61,3.06
2026-08-04,ALL,262.56,2,BOTH,8.72,1.98,1.31
2026-08-04,HWC,78.52,2,BOTH,7.42,0.52,1.83
2026-08-04,ITW,267.91,2,BOTH,6.88,0.17,2.16
2026-08-04,CNI,127.3,2,BOTH,6.37,1.34,1.12
2026-08-04,PSX,205.89,2,BOTH,8.5,4.71,2.93
2026-08-04,KO,87.5,2,BOTH,5.28,1.13,2.06
2026-08-04,L,103.75,2,BOTH,4.56,2.24,1.67
2026-08-04,NVST,29.84,2,BOTH,3.91,4.23,3.52
2026-08-04,PSNL,13.52,1,PRE_BREAKOUT,137.22,0.45,6.65
2026-08-04,TXG,47.86,1,PRE_BREAKOUT,113.36,0.83,8.72
2026-08-04,ADPT,24.55,1,PRE_BREAKOUT,66.41,0.65,8.66
2026-08-04,RHI,40.99,1,PRE_BREAKOUT,46.4,2.98,9.1
2026-08-04,KSS,20.1,1,PRE_BREAKOUT,35.26,0.69,5.79
2026-08-04,IMVT,39.36,1,PRE_BREAKOUT,38.35,1.67,6.98
2026-08-04,CALY,19.57,1,PRE_BREAKOUT,20.21,0.89,3.57
2026-08-04,SHOO,48.86,1,PRE_BREAKOUT,25.09,0.93,4.33
2026-08-04,MMM,181.45,1,PRE_BREAKOUT,21.14,2.24,3.36
2026-08-04,RTX,217.21,1,PRE_BREAKOUT,18.87,0.98,3.29
2026-08-04,DNTH,110.4,1,PRE_BREAKOUT,18.04,4.66,6.19
2026-08-04,SARO,30.68,1,PRE_BREAKOUT,17.83,3.13,4.46
2026-08-04,CCK,121.31,1,PRE_BREAKOUT,16.48,1.33,3.7
2026-08-04,WEX,189.19,1,PRE_BREAKOUT,14.62,4.58,5.72
2026-08-04,LH,312.34,1,PRE_BREAKOUT,14.1,2.85,4.83
2026-08-04,APH,171.33,1,PRE_BREAKOUT,13.97,2.59,5.95
2026-08-04,VVV,39.28,1,PRE_BREAKOUT,13.91,1.58,3.42
2026-08-04,RVMD,193.46,0,NONE,29.94,5.37,10.68
2026-08-04,UAL,132.62,0,NONE,35.64,2.21,7.49
2026-08-04,DBX,34.51,0,NONE,34.37,0.4,5.23
2026-08-04,HST,25.64,0,NONE,12.62,0.28,4.1
2026-08-04,AMCR,48.02,0,NONE,9.62,1.27,4.88
2026-08-04,CL,93.58,0,NONE,4.53,1.57,3.6
2026-08-04,REYN,26.76,0,NONE,3.96,1.16,3.38
2026-08-04,WELL,177.95,0,NONE,1.96,0.83,2.75
2026-08-04,WAT,403.92,0,NONE,0.47,3.39,4.61
2026-08-04,KVUE,23.76,0,NONE,0.32,1.25,2.86
2026-08-05,NVST,30.64,3,BOTH,4.69,1.67,5.71
2026-08-05,CL,94.45,3,BOTH,5.1,0.65,4.38
2026-08-05,EXEL,56.7,2,BOTH,20.9,1.78,5.24
2026-08-05,HST,25.13,2,BOTH,15.81,2.27,1.8
2026-08-05,KVUE,23.91,2,BOTH,0.67,0.63,3.3
2026-08-05,FLYW,18.65,1,PRE_BREAKOUT,21.72,3.97,9.38
2026-08-05,REYN,26.76,1,PRE_BREAKOUT,20.41,1.16,3.27
2026-08-05,SARO,30.81,1,PRE_BREAKOUT,18.63,2.73,4.56
2026-08-05,CLDX,41.06,1,PRE_BREAKOUT,20.45,3.02,7.99
2026-08-05,WAT,405.62,0,NONE,2.2,2.98,4.76
2026-08-05,WELL,178.09,0,NONE,1.77,0.75,2.66
2026-08-06,HIG,137.21,2,BOTH,6.76,0.22,2.37
2026-08-06,ANF,110.48,1,PRE_BREAKOUT,25.68,4.0,6.56
2026-08-06,RLI,64.38,0,NONE,25.53,0.12,5.78
2026-08-06,GLBE,41.02,0,NONE,25.39,2.84,7.27
2026-08-06,NESR,28.85,0,NONE,11.61,4.8,5.74
2026-08-06,WAT,406.38,0,NONE,2.61,2.8,4.76
2026-08-07,CFG,72.67,4,BOTH,7.68,0.34,2.15
2026-08-07,MTB,253.04,3,BOTH,10.14,0.77,2.22
2026-08-07,NVST,30.66,3,BOTH,7.22,1.6,5.16
2026-08-07,PB,76.44,3,BOTH,4.2,0.27,2.07
2026-08-07,CL,94.08,3,BOTH,3.25,1.04,3.72
2026-08-07,TXRH,208.0,2,BOTH,26.3,0.16,2.99
2026-08-07,STT,184.68,2,BOTH,18.86,0.99,2.82
2026-08-07,PFGC,135.0,2,BOTH,17.62,1.91,3.24
2026-08-07,PSX,203.91,2,BOTH,16.06,5.63,1.47
2026-08-07,SYY,84.29,2,BOTH,10.52,0.87,2.29
2026-08-07,MTG,28.1,2,BOTH,8.33,0.14,1.31
2026-08-07,HWC,77.6,2,BOTH,8.79,1.68,0.5
2026-08-07,SSB,108.12,2,BOTH,7.5,1.07,2.47
2026-08-07,BIIB,207.94,2,BOTH,2.68,0.17,3.07
2026-08-07,LAMR,160.93,2,BOTH,10.57,0.62,2.85
2026-08-07,PSNL,14.16,1,PRE_BREAKOUT,148.71,0.14,10.67
2026-08-07,HAE,87.84,1,PRE_BREAKOUT,52.82,0.18,7.14
2026-08-07,ATRC,41.39,1,PRE_BREAKOUT,42.92,1.57,8.41
2026-08-07,IMVT,39.95,1,PRE_BREAKOUT,40.8,0.2,7.29
2026-08-07,ANF,112.62,1,PRE_BREAKOUT,36.64,2.14,7.36
2026-08-07,ROIV,36.34,1,PRE_BREAKOUT,22.53,0.55,3.95
2026-08-07,MMM,182.9,1,PRE_BREAKOUT,21.92,1.46,3.48
2026-08-07,USFD,91.08,1,PRE_BREAKOUT,17.37,2.17,4.01
2026-08-07,REYN,26.52,1,PRE_BREAKOUT,16.31,2.05,1.77
2026-08-07,SCHW,105.13,1,PRE_BREAKOUT,13.19,0.04,2.06
2026-08-07,NUE,272.63,1,PRE_BREAKOUT,10.72,0.64,3.8
2026-08-07,TGT,148.56,1,PRE_BREAKOUT,14.08,0.34,3.26
2026-08-07,LAUR,38.34,1,PRE_BREAKOUT,13.21,0.47,3.7
2026-08-07,OMF,73.1,1,PRE_BREAKOUT,13.32,0.44,3.22
2026-08-07,CWT,52.93,1,PRE_BREAKOUT,5.85,0.47,2.5
2026-08-07,CROX,136.62,0,NONE,28.66,3.22,5.21
2026-08-07,SHOO,48.29,0,NONE,27.1,2.08,2.86
2026-08-07,ETSY,85.55,0,NONE,27.62,0.16,4.65
2026-08-07,KYMR,107.52,0,NONE,21.08,4.03,6.68
2026-08-07,AMCR,47.86,0,NONE,15.04,1.6,4.26
2026-08-07,MD,17.91,0,NONE,14.28,1.49,4.85
2026-08-07,SHW,369.73,0,NONE,9.79,1.74,2.99
2026-08-07,MTG,28.1,2,BOTH,8.33,0.14,1.31
2026-08-07,TGT,148.56,1,PRE_BREAKOUT,14.08,0.34,3.26
