symbol,name,exchange,market_cap,price
NVDA,NVIDIA Corporation,NMS,5453600260096.0,225.16
AAPL,Apple Inc.,NMS,4464797286400.0,305.93
GOOGL,Alphabet Inc.,NMS,4230334382080.0,345.9
GOOG,Alphabet Inc.,NMS,4201472065536.0,343.54
MSFT,Microsoft Corporation,NMS,3678615371776.0,495.4
AMZN,"Amazon.com, Inc.",NMS,2833025073152.0,262.65
TSM,Taiwan Semiconductor Manufactur,NYQ,2211253321728.0,426.35
AVGO,Broadcom Inc.,NMS,1869681393664.0,392.99
SPCX,Space Exploration Technologies ,NMS,1844386201600.0,140.0
META,"Meta Platforms, Inc.",NMS,1502646501376.0,589.85
TSLA,"Tesla, Inc.",NMS,1351811596288.0,342.27
SKHY,SK hynix Inc.,NMS,1180701687808.0,166.33
MU,"Micron Technology, Inc.",NMS,1097386098688.0,971.66
BRK-B,Berkshire Hathaway Inc. New,NYQ,1078981951488.0,504.03
BRK-A,Berkshire Hathaway Inc.,NYQ,1078304178176.0,755570.0
LLY,Eli Lilly and Company,NYQ,1051943960576.0,1180.16
JPM,JP Morgan Chase & Co.,NYQ,964496261120.0,362.84
WMT,Walmart Inc.,NMS,917327708160.0,115.27
AMD,"Advanced Micro Devices, Inc.",NMS,839728824320.0,514.39
ASML,ASML Holding N.V. - New York Re,NMS,708311121920.0,1844.08
V,Visa Inc.,NYQ,679885275136.0,364.15
XOM,ExxonMobil Holdings Corporation,NYQ,658317115392.0,160.1
JNJ,Johnson & Johnson,NYQ,627417088000.0,260.35
INTC,Intel Corporation,NMS,541825761280.0,102.5
MA,Mastercard Incorporated,NYQ,498703663104.0,569.29
BAC,Bank of America Corporation,NYQ,450962325504.0,64.49
ABBV,AbbVie Inc.,NYQ,440825085952.0,249.46
CSCO,"Cisco Systems, Inc.",NMS,440179425280.0,111.68
ORCL,Oracle Corporation,NYQ,433568514048.0,150.52
COST,Costco Wholesale Corporation,NMS,426227466240.0,961.1
PLTR,Palantir Technologies Inc.,NMS,418228273152.0,174.04
LRCX,Lam Research Corporation,NMS,415889031168.0,332.36
AMAT,"Applied Materials, Inc.",NMS,402680348672.0,507.18
CAT,"Caterpillar, Inc.",NYQ,393743728640.0,856.57
CVX,Chevron Corporation,NYQ,392320679936.0,200.0
GE,GE Aerospace,NYQ,382217289728.0,368.38
QH,Quhuo Limited,NCM,379403108352.0,4.31
KO,Coca-Cola Company (The),NYQ,377376571392.0,87.71
UNH,UnitedHealth Group Incorporated,NYQ,360590770176.0,401.73
HSBC,"HSBC Holdings, plc.",NYQ,355872014336.0,103.79
MS,Morgan Stanley,NYQ,341689925632.0,217.36
HD,"Home Depot, Inc. (The)",NYQ,337882939392.0,338.86
PG,Procter & Gamble Company (The),NYQ,336598990848.0,144.55
MRK,"Merck & Company, Inc.",NYQ,335140585472.0,135.84
NFLX,"Netflix, Inc.",NMS,325453545472.0,78.16
DELL,Dell Technologies Inc.,NYQ,317133160448.0,490.81
PANW,"Palo Alto Networks, Inc.",NMS,313180028928.0,384.27
GS,"Goldman Sachs Group, Inc. (The)",NYQ,302649376768.0,1039.42
RY,Royal Bank Of Canada,NYQ,300945276928.0,216.56
RTX,RTX Corporation,NYQ,300509626368.0,222.97
ARM,Arm Holdings plc,NMS,298441539584.0,279.44
BABA,Alibaba Group Holding Limited,NYQ,296756936704.0,123.81
PM,Philip Morris International Inc,NYQ,296744386560.0,190.39
NVS,Novartis AG,NYQ,286779867136.0,150.88
GEV,GE Vernova Inc.,NYQ,283179188224.0,1063.25
WFC,Wells Fargo & Company,NYQ,268591611904.0,88.82
KLAC,KLA Corporation,NMS,266169712640.0,203.72
MUFG,"Mitsubishi UFJ Financial Group,",NYQ,260044685312.0,23.06
TXN,Texas Instruments Incorporated,NMS,255325782016.0,279.58
ANET,"Arista Networks, Inc.",NYQ,250756710400.0,198.82
