symbol,status,grade,quality_score,market_cap_cad,market_cap_cad_bn,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_xiu_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now
ARX.TO,READY_NOW,D,6,18863409272.0,18.86,33.335,33.22,33.16,33.205,0.134,-0.56,2.59,19,0.18,2,1,3,BOTH,True,True,True
GIB-A.TO,READY_NOW,D,4,21709784912.0,21.71,104.84,102.47,102.512,102.257,0.249,-0.11,21.67,21,-0.04,2,0,2,FORMING_NOW,True,True,True
AC.TO,RECLAIM_PENDING,C,4,7584147593.0,7.58,27.06,26.955,27.3,27.744,1.626,16.45,13.96,12,-1.26,0,0,2,BOTH,True,True,False
POW.TO,RECLAIM_PENDING,D,5,57518681104.0,57.52,91.63,91.25,93.92,92.497,1.515,5.3,6.17,19,-2.84,0,1,4,BOTH,True,True,False
IGM.TO,RECLAIM_PENDING,D,5,19951093845.0,19.95,86.41,86.14,87.99,87.284,0.802,3.32,6.09,18,-2.1,0,1,4,BOTH,True,True,False
FIH-U.TO,RECLAIM_PENDING,D,5,2540762001.0,2.54,18.93,18.695,19.25,19.036,1.112,-1.72,6.38,5,-2.88,0,1,4,BOTH,True,True,False
IMO.TO,RECLAIM_PENDING,D,4,87612491291.0,87.61,181.17,180.09,182.73,182.636,0.051,2.09,5.26,11,-1.44,0,1,3,BOTH,True,True,False
CVG.TO,RECLAIM_PENDING,D,3,1072615478.0,1.07,80.16,80.16,81.5,81.825,0.399,1.04,7.86,13,-1.64,0,1,2,PRE_BREAKOUT,True,True,False
BHC.TO,RECLAIM_PENDING,D,2,3242498192.0,3.24,8.67,8.51,8.5,8.718,2.569,10.97,21.75,19,0.12,2,0,0,NONE,True,True,False
SGY.TO,WATCH_CLUSTER,D,6,1096030944.0,1.1,11.05,10.93,10.72,10.747,0.254,4.44,2.39,9,1.96,2,1,3,BOTH,False,False,True
VET.TO,WATCH_CLUSTER,D,4,2710671965.0,2.71,17.74,17.61,17.03,16.653,2.213,4.11,11.89,7,3.41,2,0,2,BOTH,False,False,True
LAS-A.TO,WATCH_CLUSTER,D,4,1624023123.0,1.62,238.07,238.07,231.816,236.506,2.023,2.93,5.19,13,2.7,2,1,1,FORMING_NOW,False,False,True
PSK.TO,WATCH_CLUSTER,D,4,8477196494.0,8.48,36.47,36.31,35.99,35.598,1.089,1.88,1.7,6,0.89,2,0,2,BOTH,False,False,True
OVV.TO,WATCH_CLUSTER,D,3,24974214253.0,24.97,90.29,90.03,88.11,88.532,0.479,6.09,2.76,24,2.18,2,1,0,NONE,False,False,True
GEI.TO,WATCH_CLUSTER,D,3,5367860066.0,5.37,31.1,30.92,32.12,31.241,2.738,2.04,5.73,21,-3.74,0,1,2,BOTH,True,True,False
FM.TO,WATCH_CLUSTER,D,3,38290062915.0,38.29,45.9,45.55,46.36,45.087,2.747,-1.36,6.84,5,-1.75,0,1,2,BOTH,True,False,False
TRI.TO,WATCH_CLUSTER,D,2,63913621464.0,63.91,147.53,144.44,141.069,142.889,1.29,7.52,38.13,22,2.39,2,0,0,NONE,False,False,True
EDR.TO,WATCH_CLUSTER,D,2,4371092578.0,4.37,14.76,14.47,14.35,14.206,1.006,2.42,28.7,13,0.84,2,0,0,NONE,False,False,True
IAG.TO,WATCH_CLUSTER,D,1,17430385145.0,17.43,197.21,196.45,207.372,201.224,2.965,9.49,11.38,30,-5.27,0,0,1,PRE_BREAKOUT,True,True,False
AIF.TO,WATCH_CLUSTER,D,1,1610447272.0,1.61,47.06,46.67,48.6,47.427,2.415,-3.01,24.69,15,-3.97,0,0,1,FORMING_NOW,True,True,False
