symbol,setup,grade,score,compression_setup,compression_grade,compression_score,current_price,breakout_level,distance_to_breakout_pct,ema20,ema50,sma200,pct_above_ema20,rs_pct,pct_below_52w_high,volume_contracting,range_contracting
SEC.TO,PRE_ENTRY,A,8,True,A,9,440.0,440.0,0.0,436.681,424.296,382.045,0.76,8.89,0.0,False,True
CXI.TO,PRE_ENTRY,A,9,True,A,9,31.47,31.5,0.1,30.309,29.63,26.468,3.83,12.42,0.1,False,True
GUD.TO,PRE_ENTRY,A,9,True,A,9,10.25,10.34,0.87,9.888,9.661,7.822,3.66,6.91,0.87,True,True
JWEL.TO,PRE_ENTRY,A,9,True,A,9,45.42,45.88,1.0,45.215,43.607,37.103,0.45,21.1,1.0,False,True
PLZ-UN.TO,PRE_ENTRY,A,8,True,A,9,5.25,5.346,1.8,5.247,5.143,4.497,0.06,10.19,1.8,False,True
Y.TO,PRE_ENTRY,B,7,True,A,8,13.45,13.5,0.37,13.258,13.023,12.206,1.45,7.9,0.37,False,False
CYB.TO,PRE_ENTRY,B,7,True,A,8,96.96,97.98,1.04,95.593,93.388,91.146,1.43,5.69,2.01,False,True
FNV.TO,PRE_ENTRY,A,9,True,A,8,373.8,378.733,1.3,361.298,343.285,325.074,3.46,17.62,3.19,True,False
X.TO,PRE_ENTRY,B,7,True,A,8,53.95,54.94,1.8,53.257,52.379,50.351,1.3,7.7,4.92,True,False
MFC.TO,PRE_ENTRY,B,7,True,B,7,62.06,63.054,1.58,60.571,59.638,52.968,2.46,5.91,1.58,True,False
