symbol,setup,grade,score,compression_setup,compression_grade,compression_score,current_price,breakout_level,distance_to_breakout_pct,ema20,ema50,sma200,pct_above_ema20,rs_pct,pct_below_52w_high,volume_contracting,range_contracting
JWEL.TO,PRE_ENTRY,A,9,True,A,9,45.43,45.88,0.98,44.895,42.813,36.561,1.19,21.6,0.98,False,False
RIC.TO,PRE_ENTRY,A,9,True,A,9,32.54,33.0,1.39,31.808,30.568,28.335,2.3,10.52,2.79,True,True
PLZ-UN.TO,PRE_ENTRY,A,9,True,A,10,5.26,5.346,1.61,5.249,5.104,4.443,0.21,12.62,1.61,True,True
CXI.TO,PRE_ENTRY,A,9,True,A,9,30.0,30.5,1.64,29.779,29.164,26.056,0.74,17.2,1.64,True,False
SEC.TO,PRE_ENTRY,A,8,True,A,9,440.0,440.0,0.0,431.831,417.49,378.205,1.89,5.85,0.0,False,True
SGY.TO,PRE_ENTRY,A,8,False,B,7,11.16,11.44,2.45,10.874,10.353,8.627,2.63,5.29,2.45,True,True
XLY.TO,PRE_ENTRY,A,8,False,B,6,3.18,3.3,3.64,3.004,2.285,0.618,5.84,1880.53,3.64,True,True
LOVE.TO,PRE_ENTRY,A,8,False,A,8,1.99,2.07,3.86,1.973,1.91,1.806,0.88,11.48,3.86,True,True
MSA.TO,PRE_ENTRY,B,8,False,A,8,8.49,8.5,0.12,7.926,7.345,6.158,7.11,49.12,0.35,False,True
MATR.TO,PRE_ENTRY,B,8,False,A,8,19.3,19.66,1.83,18.189,16.889,11.276,6.11,41.38,1.83,True,True
GWO.TO,PRE_ENTRY,B,7,True,B,7,92.59,93.392,0.86,90.048,88.658,73.549,2.82,6.98,0.86,False,False
FRX.TO,PRE_ENTRY,B,7,False,B,6,17.42,17.64,1.25,16.467,15.398,11.962,5.79,29.98,1.25,False,False
BLCO.TO,PRE_ENTRY,B,7,True,B,7,24.98,25.43,1.77,24.063,23.461,22.873,3.81,8.46,2.8,False,True
CCL-A.TO,PRE_ENTRY,B,7,False,B,7,94.94,97.12,2.24,93.568,92.368,87.543,1.47,8.09,2.24,False,True
MMP-UN.TO,PRE_ENTRY,B,7,False,B,6,4.75,4.91,3.26,4.505,4.243,3.944,5.44,10.03,4.11,True,True
GGD.TO,PRE_ENTRY,B,7,False,B,6,4.37,4.55,3.96,4.089,3.707,3.157,6.88,37.25,3.96,True,True
OVV.TO,PRE_ENTRY,B,7,False,B,7,89.57,93.43,4.13,89.475,85.953,72.502,0.11,6.86,4.13,True,True
CAS.TO,PRE_ENTRY,B,7,False,C,5,17.09,17.847,4.24,16.406,14.886,12.301,4.17,53.25,4.24,True,False
INC-UN.TO,PRE_ENTRY,B,7,False,C,5,10.3,10.799,4.62,9.831,9.109,8.029,4.77,21.51,4.62,False,True
CFW.TO,PRE_ENTRY,B,7,False,B,7,7.01,7.35,4.63,6.903,6.66,5.575,1.55,8.71,4.63,True,True
