symbol,status,grade,quality_score,market_cap_cad,market_cap_cad_bn,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_xiu_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
CGG.TO,READY_NOW,A,8,17707801665.0,17.71,44.8,44.1,44.39,44.366,0.054,53.3,8.35,15,-0.65,1,0,1,PRE_BREAKOUT,True,True,True,False,True,True,False,DOJI,NEUTRAL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A
FF.TO,READY_NOW,A,7,1267958153.0,1.27,0.9,0.86,0.88,0.878,0.258,84.49,8.16,17,-2.27,0,0,1,FORMING_NOW,True,True,True,False,True,True,False,HAMMER_BEAR_BODY,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A|BULL_CANDLE
POU.TO,READY_NOW,B,6,4845338866.0,4.85,33.23,31.74,31.96,31.71,0.782,14.69,-0.76,19,-0.69,1,0,1,FORMING_NOW,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
PSK.TO,READY_NOW,D,4,8621310905.0,8.62,37.13,35.89,35.99,36.076,0.24,9.63,0.44,16,-0.28,2,0,2,BOTH,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
CVG.TO,RECLAIM_PENDING,D,4,1079841091.0,1.08,80.7,80.0,81.5,81.442,0.071,4.51,7.24,23,-1.84,0,1,3,BOTH,True,True,False,False,False,False,False,STRONG_BULL_CANDLE,BULL,1,False,BULL_CANDLE
IGM.TO,RECLAIM_PENDING,D,4,20008816021.0,20.01,86.7,86.37,87.99,87.067,1.049,4.41,5.77,28,-1.84,0,1,3,BOTH,True,True,False,False,False,False,False,BEAR_CANDLE,BEAR,0,False,
POW.TO,RECLAIM_PENDING,D,4,58661145201.0,58.66,93.46,92.78,93.92,92.99,0.99,4.2,4.3,29,-1.21,0,1,3,BOTH,True,True,False,False,False,False,False,HAMMER_BEAR_BODY,BULL,2,False,BULL_CANDLE
AC.TO,RECLAIM_PENDING,D,2,7682206499.0,7.68,27.42,27.08,27.3,27.902,2.206,20.5,12.81,22,-0.81,1,0,1,PRE_BREAKOUT,True,True,False,False,False,True,True,BEAR_CANDLE,BEAR,4,False,RECLAIM_BREAKOUT|RS20+
EDV.TO,RECLAIM_PENDING,D,1,20099134810.0,20.1,83.44,82.89,84.253,83.241,1.201,7.58,12.96,15,-1.62,0,0,1,PRE_BREAKOUT,True,True,False,False,False,False,False,BEARISH_ENGULFING,BEAR,0,False,
LGD.TO,WATCH_CLUSTER,A+,11,1091825314.0,1.09,2.0,1.95,1.91,1.911,0.03,25.19,7.83,19,2.09,2,1,0,NONE,False,False,True,False,False,False,False,BEARISH_ENGULFING,BEAR,5,False,RS20+|GRADE_A+
