symbol,status,grade,quality_score,market_cap_hkd,market_cap_hkd_bn,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_2800_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now
2602.HK,READY_NOW,B,7,21989011456.0,21.99,18.87,18.33,18.848,18.822,0.139,11.81,23.28,10,-2.75,0,0,3,BOTH,True,True,True
1038.HK,READY_NOW,B,7,167050215424.0,167.05,65.4,64.15,64.755,64.682,0.111,11.09,1.58,19,-0.93,1,0,2,BOTH,True,True,True
2245.HK,READY_NOW,B,6,25968496640.0,25.97,17.43,16.82,17.02,17.151,0.772,22.81,39.87,19,-1.18,0,0,2,BOTH,True,True,True
8279.HK,READY_NOW,B,5,15656340480.0,15.66,1.415,1.335,1.35,1.337,0.975,88.54,15.77,23,-1.11,0,0,1,FORMING_NOW,True,True,True
0300.HK,RECLAIM_PENDING,B,7,756823228416.0,756.82,99.3,98.15,99.8,98.936,0.866,17.47,2.36,13,-1.65,0,1,2,BOTH,True,True,False
3339.HK,RECLAIM_PENDING,B,5,14466739200.0,14.47,3.295,3.25,3.33,3.347,0.504,21.2,8.98,14,-2.4,0,0,1,FORMING_NOW,True,True,False
0019.HK,RECLAIM_PENDING,C,4,376940920832.0,376.94,100.0,98.7,101.072,102.297,1.212,21.83,7.32,28,-2.35,0,1,1,PRE_BREAKOUT,True,True,False
0956.HK,RECLAIM_PENDING,D,3,14395491328.0,14.4,3.335,3.285,3.37,3.282,2.599,7.8,24.66,6,-2.52,0,0,3,BOTH,True,True,False
1088.HK,RECLAIM_PENDING,D,3,1000316665856.0,1000.32,44.46,44.28,45.02,45.18,0.355,4.92,7.67,18,-1.64,0,1,2,BOTH,True,True,False
0006.HK,RECLAIM_PENDING,D,3,130423635968.0,130.42,59.85,59.7,60.61,59.911,1.153,4.45,6.62,19,-1.5,0,1,2,BOTH,True,True,False
2328.HK,RECLAIM_PENDING,D,1,379016740864.0,379.02,16.74,16.71,17.06,16.718,2.003,10.08,10.84,12,-2.05,0,0,1,FORMING_NOW,True,True,False
1606.HK,RECLAIM_PENDING,D,1,19216416768.0,19.22,1.51,1.5,1.54,1.508,2.069,4.87,10.18,3,-2.6,0,0,1,PRE_BREAKOUT,True,True,False
0144.HK,WATCH_CLUSTER,A+,14,69644967936.0,69.64,16.46,16.31,16.2,16.237,0.229,24.43,4.79,12,0.68,2,1,3,BOTH,False,False,True
0622.HK,WATCH_CLUSTER,A+,12,19580622848.0,19.58,3.01,2.995,2.84,2.853,0.453,38.64,6.81,27,5.46,2,1,1,PRE_BREAKOUT,False,False,True
2343.HK,WATCH_CLUSTER,B,9,22004627456.0,22.0,4.155,4.145,4.095,4.134,0.957,46.73,6.63,19,1.22,2,1,2,BOTH,False,False,True
3988.HK,WATCH_CLUSTER,B,9,1947773960192.0,1947.77,5.985,5.945,5.9,5.854,0.783,14.05,2.52,12,0.76,2,1,2,FORMING_NOW,False,False,True
0939.HK,WATCH_CLUSTER,B,9,2550603710464.0,2550.6,9.59,9.57,9.5,9.513,0.134,12.3,3.13,12,0.74,2,1,2,BOTH,False,False,True
2268.HK,WATCH_CLUSTER,B,8,91304853504.0,91.3,77.0,76.75,72.4,72.861,0.637,57.21,9.94,17,6.01,2,0,2,BOTH,False,False,True
2359.HK,WATCH_CLUSTER,B,8,571386167296.0,571.39,200.0,198.3,192.441,194.15,0.888,48.37,6.02,28,3.04,2,1,1,FORMING_NOW,False,False,True
1828.HK,WATCH_CLUSTER,B,7,42867109888.0,42.87,34.92,33.26,32.64,32.821,0.553,14.12,31.26,14,1.9,2,0,1,FORMING_NOW,False,False,True
0135.HK,WATCH_CLUSTER,C,7,64045465600.0,64.05,7.555,7.54,7.38,7.489,1.471,10.76,12.38,16,2.17,2,0,3,BOTH,False,False,True
0517.HK,WATCH_CLUSTER,C,6,9184311296.0,9.18,6.455,6.285,6.289,6.212,1.219,18.27,9.91,12,-0.06,2,0,2,FORMING_NOW,True,False,True
3328.HK,WATCH_CLUSTER,C,6,714863017984.0,714.86,8.14,8.05,7.8,7.899,1.269,12.94,0.49,12,3.21,2,0,2,BOTH,False,False,True
0998.HK,WATCH_CLUSTER,C,6,470479863808.0,470.48,8.385,8.31,8.19,8.276,1.051,12.19,2.16,14,1.47,2,1,1,FORMING_NOW,False,False,True
3600.HK,WATCH_CLUSTER,C,5,6959894016.0,6.96,7.915,7.76,7.855,7.735,1.531,35.35,5.67,24,-1.21,0,1,2,BOTH,True,False,True
1138.HK,WATCH_CLUSTER,C,5,100614709248.0,100.61,19.26,18.66,17.7,17.378,1.816,16.79,9.12,6,5.43,2,0,1,PRE_BREAKOUT,False,False,True
6198.HK,WATCH_CLUSTER,C,5,48877985792.0,48.88,7.58,7.55,7.402,7.315,1.174,11.99,1.56,6,2.0,2,0,1,FORMING_NOW,False,False,True
1308.HK,WATCH_CLUSTER,C,4,122046865408.0,122.05,48.16,47.56,45.794,45.295,1.092,52.61,0.56,19,3.86,2,0,0,NONE,False,False,True
3396.HK,WATCH_CLUSTER,C,4,43189710848.0,43.19,22.1,19.73,18.481,18.799,1.719,35.69,-7.28,25,6.76,2,0,0,NONE,False,False,True
0639.HK,WATCH_CLUSTER,C,3,15502296064.0,15.5,2.785,2.745,2.843,2.805,1.356,20.87,15.29,13,-3.45,0,0,1,PRE_BREAKOUT,True,True,False
1658.HK,WATCH_CLUSTER,D,6,650915217408.0,650.92,5.4,5.37,5.145,5.285,2.722,7.29,3.47,13,4.37,2,1,3,BOTH,False,False,True
0270.HK,WATCH_CLUSTER,D,5,55865683968.0,55.87,8.77,8.74,8.736,8.542,2.222,15.5,2.23,3,0.04,2,1,2,PRE_BREAKOUT,True,False,True
3369.HK,WATCH_CLUSTER,D,5,13437725696.0,13.44,2.42,2.39,2.38,2.397,0.717,7.17,36.65,12,0.42,2,0,3,BOTH,False,True,True
3877.HK,WATCH_CLUSTER,D,5,15387518976.0,15.39,2.445,2.405,2.405,2.372,1.392,6.62,4.1,5,0.0,2,1,2,BOTH,True,False,True
0565.HK,WATCH_CLUSTER,D,4,11817298944.0,11.82,4.205,4.15,3.795,3.891,2.539,46.97,5.93,8,9.35,2,1,1,PRE_BREAKOUT,False,False,True
0737.HK,WATCH_CLUSTER,D,4,6613405184.0,6.61,2.01,1.995,1.93,1.959,1.528,8.4,0.25,14,3.37,2,0,2,BOTH,False,False,True
1686.HK,WATCH_CLUSTER,D,4,12973058048.0,12.97,5.505,5.475,5.29,5.361,1.349,6.34,30.32,11,3.5,2,0,2,FORMING_NOW,False,False,True
0003.HK,WATCH_CLUSTER,D,4,133977866240.0,133.98,7.09,7.0,7.275,7.111,2.247,4.9,5.1,19,-3.77,0,1,3,BOTH,True,True,False
2866.HK,WATCH_CLUSTER,D,4,12366734336.0,12.37,0.92,0.92,0.955,0.93,2.566,-0.67,45.12,6,-3.66,0,0,4,BOTH,True,True,False
2877.HK,WATCH_CLUSTER,D,3,6005429760.0,6.01,8.125,8.025,7.936,7.742,2.449,17.94,8.07,6,1.12,2,0,1,FORMING_NOW,False,False,True
2388.HK,WATCH_CLUSTER,D,3,552956395520.0,552.96,52.05,51.85,52.559,51.418,2.171,10.93,3.34,3,-1.35,0,1,2,PRE_BREAKOUT,True,False,False
3968.HK,WATCH_CLUSTER,D,3,1310171070464.0,1310.17,51.2,50.9,52.6,51.095,2.861,9.9,4.39,9,-3.23,0,1,2,BOTH,True,True,False
0525.HK,WATCH_CLUSTER,D,3,16894235648.0,16.89,2.215,2.215,2.39,2.348,1.762,2.8,11.94,14,-7.32,0,0,3,BOTH,True,True,False
2276.HK,WATCH_CLUSTER,D,2,20569741312.0,20.57,40.58,39.8,41.74,41.298,1.058,8.69,38.61,17,-4.65,0,0,2,BOTH,True,True,False
1112.HK,WATCH_CLUSTER,D,1,11155300352.0,11.16,16.85,16.51,17.295,16.924,2.145,61.7,8.53,15,-4.54,0,0,1,FORMING_NOW,True,True,False
6655.HK,WATCH_CLUSTER,D,1,34220267520.0,34.22,16.33,16.02,16.28,15.935,2.117,27.76,17.81,9,-1.6,0,0,1,PRE_BREAKOUT,True,False,True
1184.HK,WATCH_CLUSTER,D,1,5598115840.0,5.6,8.15,7.8,8.07,8.233,2.012,22.82,8.24,19,-3.35,0,0,1,FORMING_NOW,True,True,False
0598.HK,WATCH_CLUSTER,D,1,32963385344.0,32.96,4.59,4.555,4.717,4.597,2.53,13.72,10.65,14,-3.43,0,0,1,FORMING_NOW,True,True,False
6993.HK,WATCH_CLUSTER,D,1,21601026048.0,21.6,3.175,3.175,3.554,3.549,0.144,4.49,21.13,15,-10.68,0,0,1,FORMING_NOW,True,True,False
0991.HK,WATCH_CLUSTER,D,1,49597988864.0,49.6,2.625,2.59,2.651,2.577,2.806,-0.01,21.79,6,-2.31,0,0,1,FORMING_NOW,True,False,False
2142.HK,WATCH_CLUSTER,D,0,10642001920.0,10.64,14.05,12.7,14.28,13.927,2.469,31.01,21.64,28,-11.06,0,0,0,NONE,True,True,False
1093.HK,WATCH_CLUSTER,D,0,99341484032.0,99.34,8.93,8.87,9.22,9.021,2.163,30.61,20.29,20,-3.8,0,0,0,NONE,True,True,False
1866.HK,WATCH_CLUSTER,D,0,13728305152.0,13.73,9.955,9.85,10.74,10.455,2.657,1.89,19.92,13,-8.29,0,0,0,NONE,True,True,False
