symbol,status,grade,quality_score,market_cap_hkd,market_cap_hkd_bn,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_2800_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now
0992.HK,READY_NOW,A,7,371643580416.0,371.64,30.04,29.1,29.38,29.244,0.461,17.8,16.92,11,-0.95,1,0,0,NONE,True,True,True
1398.HK,READY_NOW,C,4,2653444636672.0,2653.44,7.57,7.345,7.49,7.364,1.683,11.0,1.17,21,-1.94,0,0,2,BOTH,True,True,True
6690.HK,READY_NOW,D,3,193788772352.0,193.79,21.56,20.96,21.116,21.19,0.35,8.09,19.91,22,-0.74,1,0,2,BOTH,True,True,True
1070.HK,READY_NOW,D,1,39450800128.0,39.45,16.75,15.34,15.579,15.945,2.348,18.98,1.18,26,-1.54,0,0,1,PRE_BREAKOUT,True,True,True
0392.HK,READY_NOW,D,1,39123902464.0,39.12,32.3,30.8,31.346,30.831,1.641,3.45,10.2,29,-1.74,0,0,1,PRE_BREAKOUT,True,True,True
2359.HK,RECLAIM_PENDING,A,8,588098502656.0,588.1,189.3,187.3,192.441,192.493,0.027,45.25,11.04,14,-2.67,0,0,2,FORMING_NOW,True,True,False
0669.HK,RECLAIM_PENDING,C,4,247087185920.0,247.09,135.5,133.3,136.2,138.637,1.789,15.3,9.67,17,-2.13,0,0,2,PRE_BREAKOUT,True,True,False
0945.HK,RECLAIM_PENDING,D,4,559498919936.0,559.5,334.4,333.6,342.507,338.384,1.204,9.24,4.86,22,-2.6,0,1,3,BOTH,True,True,False
1038.HK,RECLAIM_PENDING,D,3,163774709760.0,163.77,65.25,64.25,65.5,64.26,1.893,8.23,2.32,5,-1.91,0,1,2,BOTH,True,True,False
3600.HK,WATCH_CLUSTER,A+,13,7660554752.0,7.66,8.27,8.12,8.0,8.036,0.455,39.78,3.22,10,1.5,2,1,2,BOTH,False,False,True
0019.HK,WATCH_CLUSTER,A,11,380931637248.0,380.93,106.5,104.6,102.5,102.316,0.179,25.25,-0.47,14,2.05,2,0,3,BOTH,False,False,True
0300.HK,WATCH_CLUSTER,B,9,753343791104.0,753.34,101.4,98.35,96.6,97.465,0.895,16.56,-1.6,22,1.81,2,0,3,BOTH,False,False,True
9688.HK,WATCH_CLUSTER,B,7,23216656384.0,23.22,19.8,19.73,18.98,19.113,0.7,43.08,28.83,12,3.95,2,0,1,FORMING_NOW,False,False,True
0386.HK,WATCH_CLUSTER,B,7,575303254016.0,575.3,4.785,4.71,4.48,4.498,0.393,10.31,13.45,4,5.13,2,0,1,PRE_BREAKOUT,False,False,True
9858.HK,WATCH_CLUSTER,B,6,17605613568.0,17.61,4.055,3.86,4.02,4.058,0.933,27.55,23.35,22,-3.98,0,0,2,BOTH,True,True,False
2556.HK,WATCH_CLUSTER,C,5,14979873792.0,14.98,60.8,54.0,49.0,49.848,1.73,47.88,7.18,10,10.2,2,1,0,NONE,False,False,True
0023.HK,WATCH_CLUSTER,C,5,48223346688.0,48.22,18.51,18.02,16.69,16.914,1.344,31.69,-0.33,19,7.97,2,0,1,PRE_BREAKOUT,False,False,True
6616.HK,WATCH_CLUSTER,C,5,12222244864.0,12.22,9.97,9.745,9.44,9.293,1.56,29.92,10.82,11,3.23,2,0,1,FORMING_NOW,False,False,True
0939.HK,WATCH_CLUSTER,C,4,2391027482624.0,2391.03,9.5,9.1,9.23,9.053,1.92,11.87,-1.5,21,-1.41,0,0,2,BOTH,True,False,True
1093.HK,WATCH_CLUSTER,C,2,108693946368.0,108.69,9.24,9.08,9.22,9.044,1.912,21.8,17.52,6,-1.52,0,0,0,NONE,True,False,True
0087.HK,WATCH_CLUSTER,D,6,55144390656.0,55.14,15.26,15.05,14.77,15.1,2.233,13.65,3.42,22,1.9,2,1,3,BOTH,False,True,True
0005.HK,WATCH_CLUSTER,D,5,2764999229440.0,2765.0,161.0,159.5,164.598,161.488,1.889,7.28,5.07,20,-3.1,0,1,4,BOTH,True,True,False
0144.HK,WATCH_CLUSTER,D,5,67420024832.0,67.42,16.08,15.66,15.56,15.525,0.223,2.11,6.99,6,0.64,2,1,2,BOTH,False,False,True
6823.HK,WATCH_CLUSTER,D,5,93242654720.0,93.24,12.21,12.14,12.6,12.349,1.991,-0.31,7.59,21,-3.65,0,1,4,BOTH,True,True,False
0135.HK,WATCH_CLUSTER,D,4,66560548864.0,66.56,7.73,7.605,7.38,7.219,2.187,5.28,10.35,2,3.05,2,0,2,PRE_BREAKOUT,False,False,True
1088.HK,WATCH_CLUSTER,D,4,993809858560.0,993.81,46.36,45.76,45.02,44.455,1.255,-1.71,3.73,4,1.64,2,1,1,PRE_BREAKOUT,False,False,True
2518.HK,WATCH_CLUSTER,D,3,20012097536.0,20.01,43.4,43.4,42.14,43.077,2.224,25.58,24.11,22,2.99,2,0,1,PRE_BREAKOUT,False,False,True
2507.HK,WATCH_CLUSTER,D,3,17523546112.0,17.52,47.96,46.82,46.54,45.527,2.177,23.1,32.6,9,0.6,2,0,1,PRE_BREAKOUT,False,False,True
3866.HK,WATCH_CLUSTER,D,3,29480095744.0,29.48,5.11,4.995,4.99,4.884,2.119,13.57,1.35,4,0.1,2,0,1,PRE_BREAKOUT,True,False,True
0293.HK,WATCH_CLUSTER,D,3,89392578560.0,89.39,14.4,14.35,14.88,14.546,2.247,5.84,5.39,16,-3.56,0,1,2,BOTH,True,True,False
