symbol,setup,grade,score,compression_setup,compression_grade,compression_score,current_price,breakout_level,distance_to_breakout_pct,ema20,ema50,sma200,pct_above_ema20,rs_pct,pct_below_52w_high,volume_contracting,range_contracting
0998.HK,PRE_ENTRY,A,10,True,A,10,8.55,8.57,0.23,8.302,7.97,7.399,2.98,14.23,0.23,True,True
0737.HK,PRE_ENTRY,A,8,True,A,9,2.0,2.015,0.74,1.963,1.914,1.849,1.87,7.3,0.74,False,True
6198.HK,PRE_ENTRY,A,9,True,A,9,7.63,7.7,0.91,7.345,7.089,6.913,3.88,12.23,0.91,False,True
3988.HK,PRE_ENTRY,A,9,True,A,9,6.06,6.14,1.3,5.873,5.614,4.916,3.18,13.42,1.3,True,True
0939.HK,PRE_ENTRY,A,9,True,A,9,9.755,9.9,1.46,9.536,9.19,8.251,2.3,13.2,1.46,True,True
0945.HK,PRE_ENTRY,A,8,True,A,8,349.0,351.494,0.71,341.621,336.471,302.779,2.16,9.16,0.71,False,True
0066.HK,PRE_ENTRY,B,7,True,A,8,33.24,33.56,0.95,32.756,32.44,31.86,1.48,5.79,8.63,False,True
2888.HK,PRE_ENTRY,A,8,True,A,8,246.0,248.8,1.13,239.509,232.365,201.412,2.71,11.3,1.13,False,True
1038.HK,PRE_ENTRY,B,7,True,A,8,65.55,66.45,1.35,64.765,63.426,60.422,1.21,10.61,1.35,False,False
1288.HK,PRE_ENTRY,A,8,True,A,8,6.515,6.645,1.96,6.326,6.158,5.687,2.98,10.68,1.96,False,True
