symbol,setup,grade,score,compression_setup,compression_grade,compression_score,current_price,breakout_level,distance_to_breakout_pct,ema20,ema50,sma200,pct_above_ema20,rs_pct,pct_below_52w_high,volume_contracting,range_contracting
0019.HK,PRE_ENTRY,A,9,False,A,8,104.3,106.5,2.07,103.061,97.388,81.286,1.2,20.61,2.34,False,True
3328.HK,PRE_ENTRY,A,8,True,A,8,7.86,7.93,0.88,7.568,7.361,6.885,3.85,7.43,2.72,False,True
0300.HK,PRE_ENTRY,A,8,True,B,7,100.5,101.7,1.18,98.197,94.743,85.987,2.35,16.62,1.18,False,False
0939.HK,PRE_ENTRY,A,8,True,A,8,9.565,9.7,1.39,9.197,8.889,8.138,4.0,12.83,2.55,False,True
0945.HK,PRE_ENTRY,A,8,False,A,8,338.0,351.494,3.84,336.851,332.169,297.929,0.34,11.12,3.84,True,True
3866.HK,PRE_ENTRY,B,7,False,B,7,5.33,5.39,1.11,4.996,4.799,4.261,6.68,20.99,1.39,False,True
2388.HK,PRE_ENTRY,B,7,True,B,7,52.1,52.75,1.23,50.9,49.292,42.922,2.36,10.69,1.7,False,False
0998.HK,PRE_ENTRY,B,7,False,B,7,8.355,8.48,1.47,7.976,7.683,7.327,4.75,11.6,2.51,False,True
1398.HK,PRE_ENTRY,B,7,False,B,7,7.545,7.735,2.46,7.434,7.229,6.604,1.49,9.89,2.83,False,True
1038.HK,PRE_ENTRY,B,7,False,A,8,65.0,66.8,2.69,64.372,63.009,60.304,0.97,13.07,2.69,False,True
3988.HK,PRE_ENTRY,B,6,False,B,7,5.95,6.03,1.33,5.59,5.381,4.824,6.44,14.1,1.98,False,True
0023.HK,PRE_ENTRY,B,6,False,B,6,18.3,18.6,1.61,16.994,15.676,13.789,7.69,33.45,3.02,False,False
0144.HK,PRE_ENTRY,B,6,False,C,5,16.23,16.58,2.11,15.718,15.151,15.09,3.26,9.31,6.12,False,True
1288.HK,PRE_ENTRY,B,6,False,B,6,6.395,6.58,2.81,6.22,6.026,5.648,2.82,7.68,3.76,False,True
1963.HK,PRE_ENTRY,B,6,False,B,6,8.49,8.74,2.86,8.245,8.057,7.742,2.97,6.27,2.86,False,True
6616.HK,PRE_ENTRY,B,6,False,C,4,10.02,10.4,3.65,9.489,8.737,8.245,5.6,34.87,10.38,True,True
0293.HK,PRE_ENTRY,B,6,False,B,6,14.34,14.943,4.04,14.233,13.799,12.218,0.75,9.53,4.04,False,True
0805.HK,PRE_ENTRY,B,6,False,C,5,9.815,10.26,4.34,9.09,7.66,3.069,7.98,170.25,4.34,False,True
6699.HK,PRE_ENTRY,B,6,False,C,4,95.25,99.75,4.51,90.772,85.582,71.631,4.93,28.63,4.51,False,False
3339.HK,PRE_ENTRY,B,6,False,C,4,3.45,3.62,4.7,3.268,3.109,2.932,5.56,21.71,4.7,False,False
0270.HK,PRE_ENTRY,C,5,False,C,5,8.82,8.92,1.12,8.434,8.224,7.616,4.57,7.83,1.12,False,False
0966.HK,PRE_ENTRY,C,5,False,C,4,22.0,22.6,2.65,20.905,20.535,20.014,5.24,17.14,9.62,False,False
2888.HK,PRE_ENTRY,C,5,False,B,6,233.4,239.791,2.67,231.81,226.171,196.673,0.69,7.91,2.67,False,False
0565.HK,PRE_ENTRY,C,5,False,C,5,3.38,3.485,3.01,3.137,3.018,2.356,7.73,9.91,3.43,True,True
0005.HK,PRE_ENTRY,C,5,False,C,5,163.5,169.595,3.59,161.706,158.11,136.196,1.11,9.36,3.59,False,False
6821.HK,PRE_ENTRY,C,5,False,C,4,133.8,139.7,4.22,124.135,117.814,93.732,7.79,45.95,4.22,False,False
1972.HK,PRE_ENTRY,C,5,False,C,5,24.12,25.305,4.68,23.89,23.24,22.5,0.96,8.26,6.71,False,True
6993.HK,PRE_ENTRY,C,4,False,C,4,3.735,3.85,2.99,3.493,3.301,2.917,6.92,19.27,9.27,False,False
