symbol,status,grade,quality_score,market_cap_hkd,market_cap_hkd_bn,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_2800_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
1952.HK,RECLAIM_PENDING,D,3,11315479552.0,11.32,31.3,30.88,30.84,31.535,2.254,9.86,55.22,12,0.13,2,0,1,FORMING_NOW,True,True,False,False,False,True,True,DOJI,NEUTRAL,2,False,RECLAIM_BREAKOUT
6690.HK,RECLAIM_PENDING,D,3,195273457664.0,195.27,21.12,20.94,21.116,21.193,0.364,2.9,21.55,28,-0.84,1,0,2,BOTH,True,True,False,False,False,True,True,BEAR_CANDLE,BEAR,2,False,RECLAIM_BREAKOUT
0144.HK,WATCH_CLUSTER,C,7,68847345664.0,68.85,16.31,16.13,16.2,15.878,1.985,11.55,5.66,4,-0.43,2,1,2,PRE_BREAKOUT,True,False,True,False,False,True,True,HAMMER_BEAR_BODY,BULL,3,False,RECLAIM_BREAKOUT|BULL_CANDLE
2356.HK,WATCH_CLUSTER,C,4,21030051840.0,21.03,14.78,14.68,14.77,14.577,1.309,14.93,4.34,29,-0.61,1,1,0,NONE,True,False,True,False,False,True,True,BEAR_CANDLE,BEAR,3,False,RECLAIM_BREAKOUT
1398.HK,WATCH_CLUSTER,D,5,2742546333696.0,2742.55,7.505,7.495,7.49,7.467,0.301,4.42,3.35,27,0.07,2,1,2,BOTH,True,False,True,False,False,True,True,BEAR_CANDLE,BEAR,3,False,RECLAIM_BREAKOUT
0939.HK,WATCH_CLUSTER,D,4,2553219645440.0,2553.22,9.535,9.49,9.5,9.303,2.079,9.13,3.49,4,-0.11,2,1,1,PRE_BREAKOUT,True,False,True,False,False,True,True,BEARISH_ENGULFING,BEAR,3,False,RECLAIM_BREAKOUT
1288.HK,WATCH_CLUSTER,D,4,2288889102336.0,2288.89,6.38,6.34,6.33,6.274,0.891,7.47,3.99,27,0.16,2,1,1,PRE_BREAKOUT,True,False,True,False,False,True,True,BEARISH_ENGULFING,BEAR,3,False,RECLAIM_BREAKOUT
1963.HK,WATCH_CLUSTER,D,4,31453616128.0,31.45,8.49,8.445,8.426,8.323,1.223,1.3,2.97,27,0.23,2,1,1,PRE_BREAKOUT,True,False,True,False,False,True,True,BEAR_CANDLE,BEAR,3,False,RECLAIM_BREAKOUT
2276.HK,WATCH_CLUSTER,D,3,20356982784.0,20.36,42.82,41.84,41.74,41.192,1.314,6.58,35.22,9,0.24,2,0,1,PRE_BREAKOUT,True,False,True,False,False,True,True,BULL_CANDLE,BULL,3,False,RECLAIM_BREAKOUT|BULL_CANDLE
0998.HK,WATCH_CLUSTER,D,3,472149196800.0,472.15,8.28,8.14,8.19,8.071,1.456,4.5,3.38,6,-0.61,1,1,1,FORMING_NOW,True,False,True,False,False,True,True,BEARISH_ENGULFING,BEAR,3,False,RECLAIM_BREAKOUT
