symbol,status,grade,quality_score,market_cap_hkd,market_cap_hkd_bn,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_2800_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
2359.HK,READY_NOW,A,7,574170595328.0,574.17,194.9,188.2,192.441,192.602,0.084,63.47,8.41,20,-2.2,0,0,1,FORMING_NOW,True,True,True,True,True,True,False,STRONG_BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|GRADE_A|BULL_CANDLE
0325.HK,READY_NOW,B,5,18870382592.0,18.87,72.0,70.85,71.632,71.274,0.5,43.65,34.26,16,-1.09,0,0,1,FORMING_NOW,True,True,True,False,True,True,False,BEAR_CANDLE,BEAR,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|GRADE_B
0144.HK,READY_NOW,C,5,68847345664.0,68.85,16.45,15.92,16.2,15.892,1.903,12.54,4.85,4,-1.73,0,1,2,PRE_BREAKOUT,True,True,True,False,True,True,False,DOJI,NEUTRAL,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT
0003.HK,READY_NOW,D,4,132485079040.0,132.49,7.285,7.105,7.275,7.093,2.499,5.19,2.49,11,-2.33,0,1,3,BOTH,True,True,True,False,True,True,False,BULL_CANDLE,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
1398.HK,READY_NOW,D,4,2742546333696.0,2742.55,7.515,7.43,7.49,7.468,0.288,4.56,3.22,27,-0.8,1,1,2,BOTH,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
1952.HK,READY_NOW,D,3,11315479552.0,11.32,33.2,30.74,30.84,31.716,2.841,16.76,52.5,12,-0.32,2,0,1,FORMING_NOW,True,True,True,False,True,True,False,BULL_CANDLE,BULL,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
0135.HK,READY_NOW,D,3,64060219392.0,64.06,7.63,7.3,7.38,7.342,0.52,6.7,11.51,8,-1.08,0,0,3,BOTH,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
6690.HK,READY_NOW,D,3,195273457664.0,195.27,21.22,21.0,21.116,21.203,0.409,3.4,21.18,28,-0.55,1,0,2,BOTH,True,True,True,False,True,True,False,BULL_CANDLE,BULL,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
0992.HK,READY_NOW,D,1,401910988800.0,401.91,30.38,28.62,29.38,30.122,2.526,17.45,15.98,17,-2.59,0,0,1,FORMING_NOW,True,True,True,False,True,True,False,BEAR_CANDLE,BEAR,5,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT
2518.HK,RECLAIM_PENDING,C,3,19275003904.0,19.28,42.46,41.04,42.14,42.65,1.21,20.87,25.69,28,-2.61,0,0,1,PRE_BREAKOUT,True,True,False,False,False,True,True,DOJI,NEUTRAL,2,False,RECLAIM_BREAKOUT
0945.HK,WATCH_CLUSTER,C,8,571113668608.0,571.11,345.4,343.0,342.507,339.026,1.016,10.06,1.73,28,0.14,2,0,4,BOTH,True,False,True,False,False,True,True,HAMMER_BEAR_BODY,BULL,5,False,RECLAIM_BREAKOUT|BULL_CANDLE
2356.HK,WATCH_CLUSTER,C,5,21030051840.0,21.03,14.85,14.73,14.77,14.583,1.264,15.5,3.88,29,-0.27,2,1,0,NONE,True,False,True,True,False,True,False,BULL_CANDLE,BULL,4,False,RECLAIM_BREAKOUT|BULL_CANDLE
1038.HK,WATCH_CLUSTER,C,5,163900702720.0,163.9,66.15,65.0,65.5,64.722,1.188,11.57,0.97,11,-0.76,1,0,2,BOTH,True,False,True,True,False,True,False,STRONG_BULL_CANDLE,BULL,4,False,RECLAIM_BREAKOUT|BULL_CANDLE
0525.HK,WATCH_CLUSTER,D,4,17319247872.0,17.32,2.425,2.375,2.39,2.345,1.878,9.75,3.59,6,-0.63,1,1,2,BOTH,True,False,True,False,False,True,True,DOJI,NEUTRAL,3,False,RECLAIM_BREAKOUT
3328.HK,WATCH_CLUSTER,D,4,705584824320.0,705.58,7.825,7.79,7.8,7.652,1.897,3.7,3.16,4,-0.13,2,1,1,PRE_BREAKOUT,True,False,True,False,False,True,True,SHOOTING_STAR,BEAR,3,False,RECLAIM_BREAKOUT
1963.HK,WATCH_CLUSTER,D,4,31453616128.0,31.45,8.485,8.4,8.426,8.322,1.229,1.24,3.03,27,-0.31,2,1,1,PRE_BREAKOUT,True,False,True,False,False,True,True,BULL_CANDLE,BULL,4,False,RECLAIM_BREAKOUT|BULL_CANDLE
0939.HK,WATCH_CLUSTER,D,3,2553219645440.0,2553.22,9.52,9.43,9.5,9.301,2.094,8.95,3.64,4,-0.74,1,1,1,PRE_BREAKOUT,True,False,True,False,False,True,True,STRONG_BULL_CANDLE,BULL,4,False,RECLAIM_BREAKOUT|BULL_CANDLE
