symbol,status,grade,quality_score,market_cap_hkd,market_cap_hkd_bn,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_2800_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
3600.HK,READY_NOW,A,9,7679239680.0,7.68,8.2,7.86,8.0,8.012,0.148,43.3,4.04,9,-1.75,0,1,2,BOTH,True,True,True,False,True,True,False,HAMMER_BEAR_BODY,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|GRADE_A|BULL_CANDLE
6690.HK,READY_NOW,B,6,200118616064.0,200.12,21.28,20.56,21.116,21.151,0.166,10.88,20.95,21,-2.64,0,0,2,BOTH,True,True,True,False,True,True,False,BEAR_CANDLE,BEAR,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|GRADE_B
0945.HK,RECLAIM_PENDING,C,6,551202652160.0,551.2,337.2,337.0,342.507,338.803,1.081,11.35,4.07,21,-1.61,0,1,3,BOTH,True,True,False,False,False,False,False,BEAR_CANDLE,BEAR,1,False,
1070.HK,RECLAIM_PENDING,C,5,40307879936.0,40.31,15.65,15.31,15.579,15.86,1.804,15.24,7.67,25,-1.73,0,1,2,BOTH,True,True,False,False,False,True,True,BEAR_CANDLE,BEAR,2,False,RECLAIM_BREAKOUT
0005.HK,RECLAIM_PENDING,D,5,2791954448384.0,2791.95,161.4,160.2,164.598,161.539,1.858,9.03,4.83,19,-2.67,0,1,4,BOTH,True,True,False,False,False,False,False,BEAR_CANDLE,BEAR,1,False,
0669.HK,RECLAIM_PENDING,D,2,261717737472.0,261.72,135.2,133.8,136.2,138.967,2.031,13.98,9.87,16,-1.76,0,0,2,PRE_BREAKOUT,True,True,False,False,False,False,False,DOJI,NEUTRAL,0,False,
9989.HK,RECLAIM_PENDING,D,1,6338720256.0,6.34,4.39,4.32,4.45,4.356,2.111,4.03,33.12,13,-2.92,0,0,1,PRE_BREAKOUT,True,True,False,False,False,False,False,HAMMER_BEAR_BODY,BULL,1,False,BULL_CANDLE
2359.HK,WATCH_CLUSTER,A+,13,614057181184.0,614.06,197.1,195.8,192.441,192.83,0.202,49.44,7.38,13,1.75,2,1,2,FORMING_NOW,False,False,True,False,False,False,False,BEAR_CANDLE,BEAR,3,False,GRADE_A+
0300.HK,WATCH_CLUSTER,A,11,739230547968.0,739.23,98.75,97.95,96.6,97.05,0.466,18.82,1.05,21,1.4,2,0,3,BOTH,False,False,True,False,False,False,False,HAMMER_BEAR_BODY,BULL,5,False,GRADE_A|BULL_CANDLE
0023.HK,WATCH_CLUSTER,A,9,44971446272.0,44.97,18.24,17.5,16.69,16.746,0.337,31.46,-0.77,18,4.85,2,0,1,PRE_BREAKOUT,False,False,True,False,False,False,False,SHOOTING_STAR_BULL_BODY,BULL,5,False,GRADE_A|BULL_CANDLE
9688.HK,WATCH_CLUSTER,A,8,22834950144.0,22.83,20.68,20.32,18.98,19.04,0.318,46.4,28.19,11,7.06,2,0,0,NONE,False,False,True,False,False,False,False,STRONG_BULL_CANDLE,BULL,4,False,GRADE_A|BULL_CANDLE
0019.HK,WATCH_CLUSTER,B,9,381657219072.0,381.66,105.0,103.2,102.5,101.876,0.609,26.41,0.94,13,0.68,2,0,3,BOTH,False,False,True,False,False,False,False,BULL_CANDLE,BULL,4,False,GRADE_B|BULL_CANDLE
