symbol,market,status,delay,entry_price,stop,risk_pct,us_high_quality,reversal_date,reversal_close,reversal_high,reversal_low,prev5_high,clv,body_frac,vol_ratio20,vol_expand,ema20_reclaim_on_day1,prev5_high_reclaim_on_day1,score,target_1R,target_2R,both_highs
PPL.TO,CANADA,CONFIRMED_ENTRY,2,66.5999984741211,65.13999938964844,0.021921908677520033,False,2026-09-15,65.81999969482422,65.9000015258789,65.13999938964844,67.86709989132794,0.8947347287055163,0.8947347287055163,2.48982949477135,True,False,False,6,68.05999755859375,69.5199966430664,False
AEM.TO,CANADA,CONFIRMED_ENTRY,2,282.1499938964844,268.5199890136719,0.04830765613205399,False,2026-09-14,274.5899963378906,275.0299987792969,268.5199890136719,287.3800048828125,0.9324114007125446,0.6175089068066755,0.6583615678497752,False,True,False,6,295.7799987792969,309.4100036621094,False
OR.TO,CANADA,CONFIRMED_ENTRY,3,51.7599983215332,48.2400016784668,0.06800611972976082,False,2026-09-14,49.400001525878906,49.54999923706055,48.2400016784668,52.5,0.8854977170013512,0.43511508176862507,1.2981440576840073,True,False,False,6,55.27999496459961,58.799991607666016,False
AGI.TO,CANADA,CONFIRMED_ENTRY,3,50.04999923706055,48.31999969482422,0.0345654259462069,False,2026-09-14,49.540000915527344,49.900001525878906,48.31999969482422,52.02391379480288,0.7721517764879716,0.6202521560257661,0.5502074226245929,False,False,False,5,51.779998779296875,53.5099983215332,False
GGD.TO,CANADA,CONFIRMED_ENTRY,3,4.340000152587891,3.990000009536743,0.08064519141605249,False,2026-09-14,4.139999866485596,4.170000076293945,3.990000009536743,4.5,0.8333322295440246,0.3888870492400411,0.8489999175270688,False,False,False,5,4.690000295639038,5.0400004386901855,False
EFN.TO,CANADA,WATCH,0,,24.549999237060547,,False,2026-09-17,25.200000762939453,25.25,24.549999237060547,26.8799991607666,0.9285725963346249,0.3571424678884584,1.2236607571180627,True,False,False,6,,,
FRU.TO,CANADA,WATCH,0,,17.25,,False,2026-09-17,17.610000610351562,17.6200008392334,17.25,18.040000915527344,0.9729724156773392,0.7027017274353436,0.7903020389870614,False,True,False,6,,,
VET.TO,CANADA,WATCH,0,,17.389999389648438,,False,2026-09-17,17.709999084472656,17.790000915527344,17.389999389648438,19.019956292407407,0.7999961853172862,0.774995708481947,0.4706026017936552,False,True,False,6,,,
AAV.TO,CANADA,WATCH,0,,9.989999771118164,,False,2026-09-17,10.239999771118164,10.270000457763672,9.989999771118164,10.899999618530273,0.8928549533041328,0.6071416407245183,0.7673878639012011,False,False,False,5,,,
PEY.TO,CANADA,WATCH,0,,23.780000686645508,,False,2026-09-17,24.239999771118164,24.325000762939453,23.780000686645508,25.100000381469727,0.8440348992255116,0.4954136146176379,0.7518178863165546,False,False,False,5,,,
