symbol,marker,blue_marker,candle,current_price,day_open,day_high,day_low,day_volume,breakout_level,breakout_age_days,ema20_live,ema50_live,sma200_live,distance_above_ema20_pct,avg_volume_20,avg_dollar_volume_20,pct_below_52w_high,benchmark_symbol,rs_vs_benchmark_pct,rs_vs_spy_pct,market_pass,strong_uptrend,not_overextended,liquid_stock,near_year_high,outperforming_benchmark,outperforming_spy,slight_undercut,reclaimed_level,bullish_reclaim_candle,market_cap_usd
MA,ENTRY,True,BULL,588.435,584.0,590.71,583.695,1272586.0,583.71,7,579.4005,557.9612,528.6395,1.559,2795319.0,1617099331.0,2.128,SPY,23.26,23.26,True,True,True,True,True,True,True,True,True,True,
BNS,ENTRY,True,BULL,93.03,91.72,93.03,91.45,900954.0,92.04,6,90.4241,87.9453,77.5279,2.882,1996443.0,180742523.0,2.032,SPY,15.253,15.253,True,True,True,True,True,True,True,True,True,True,
EQNR,ENTRY,True,BULL,43.77,43.18,43.83,43.11,1790764.0,43.17,1,41.5318,39.4196,32.6822,5.389,2492148.0,103224258.0,1.263,SPY,14.72,14.72,True,True,True,True,True,True,True,True,True,True,
SLB,ENTRY,True,BULL,58.24,56.655,58.47,56.3,8510946.0,57.42,2,54.4692,52.4773,48.5886,6.923,11391517.0,628283429.0,3.672,SPY,0.709,0.709,True,True,True,True,True,True,True,True,True,True,
OKE,ENTRY,True,BULL,96.51,95.16,96.715,94.41,1646675.0,95.48,11,93.6982,91.4318,83.0086,3.001,3391084.0,317105167.0,3.345,SPY,10.841,10.841,True,True,True,True,True,True,True,True,True,True,
OXY,ENTRY,True,BULL,61.065,60.44,61.1048,60.14,3523446.0,60.83,9,59.0336,57.312,51.9571,3.441,7600472.0,448115967.0,9.048,SPY,1.126,1.126,True,True,True,True,True,True,True,True,True,True,
A,ENTRY,True,BULL,150.665,149.05,152.72,147.6,1309564.0,150.24,10,150.4357,143.1489,131.1664,0.152,2143843.0,327509044.0,7.991,SPY,8.129,8.129,True,True,True,True,True,True,True,True,True,True,
DRI,ENTRY,True,BULL,220.75,215.44,221.61,215.44,516611.0,219.43,15,216.5749,211.3078,198.5642,1.928,942216.0,206732547.0,3.921,SPY,10.502,10.502,True,True,True,True,True,True,True,True,True,True,
GPN,ENTRY,True,BULL,92.92,90.29,93.61,89.725,955166.0,90.85,14,90.4254,84.9151,75.1654,2.759,2821698.0,256207572.0,3.087,SPY,35.738,35.738,True,True,True,True,True,True,True,True,True,True,
CF,ENTRY,True,BULL,140.56,133.57,141.27,131.29,2697929.0,132.55,1,126.1285,121.4646,106.6618,11.442,2560291.0,318280356.0,0.503,SPY,19.434,19.434,True,True,True,True,True,True,True,True,True,True,
GEN,ENTRY,True,BULL,30.615,30.04,30.685,29.86,2728622.0,30.53,3,29.1843,27.5894,24.3408,4.902,5800971.0,169274036.0,2.157,SPY,14.301,14.301,True,True,True,True,True,True,True,True,True,True,
CRBG,ENTRY,True,BULL,33.7592,32.35,33.77,32.35,2442529.0,32.47,20,32.5997,31.579,28.6003,3.557,3963856.0,131619973.0,3.019,SPY,29.47,29.47,True,True,True,True,True,True,True,True,True,True,
EQH,ENTRY,True,BULL,51.785,49.64,51.81,49.64,1643291.0,49.715,20,50.022,48.4165,43.9818,3.524,2218695.0,112739911.0,3.58,SPY,29.037,29.037,True,True,True,True,True,True,True,True,True,True,
RVTY,ENTRY,True,BULL,131.2,125.94,131.75,125.94,979376.0,126.9,4,122.6919,115.8188,101.8752,6.935,1450369.0,177777015.0,0.417,SPY,28.156,28.156,True,True,True,True,True,True,True,True,True,True,
RGEN,ENTRY,True,BULL,173.485,169.78,176.87,168.8577,591985.0,169.5,10,170.7903,157.3714,141.7982,1.578,961649.0,166545505.0,8.078,SPY,40.78,40.78,True,True,True,True,True,True,True,True,True,True,
TTC,ENTRY,True,BULL,99.77,98.3,99.87,97.32,494577.0,98.08,21,98.1436,96.4076,90.4716,1.657,604899.0,59573261.0,4.33,SPY,8.445,8.445,True,True,True,True,True,True,True,True,True,True,
TTEK,ENTRY,True,BULL,36.03,35.65,36.08,35.435,1236592.0,35.5877,14,35.6856,33.7936,32.8307,0.965,2583975.0,93436835.0,15.953,SPY,28.131,28.131,True,True,True,True,True,True,True,True,True,True,
LNC,ENTRY,True,BULL,44.355,43.03,44.57,43.03,751366.0,43.06,24,43.4335,42.0239,38.6868,2.122,1767703.0,77657095.0,6.954,SPY,32.073,32.073,True,True,True,True,True,True,True,True,True,True,
BXSL,ENTRY,True,BULL,24.765,24.69,24.87,24.575,771467.0,24.61,14,24.5349,24.0477,23.6808,0.938,1462633.0,36022645.0,5.684,SPY,8.171,8.171,True,True,True,True,True,True,True,True,True,True,
OII,ENTRY,True,BULL,52.11,51.25,52.375,50.52,286310.0,51.48,28,50.697,47.4943,36.2485,2.787,821006.0,42312451.0,3.945,SPY,35.431,35.431,True,True,True,True,True,True,True,True,True,True,
AVNT,ENTRY,True,BULL,44.14,43.17,44.29,43.17,377377.0,43.96,18,43.361,40.9458,36.1396,1.797,890664.0,39746705.0,5.36,SPY,27.167,27.167,True,True,True,True,True,True,True,True,True,True,
BWIN,ENTRY,True,BULL,30.91,30.105,30.99,29.71,470936.0,30.04,15,30.2192,28.1885,23.8103,2.286,952827.0,29104722.0,5.155,SPY,62.941,62.941,True,True,True,True,True,True,True,True,True,True,
TALO,ENTRY,True,BULL,17.465,17.05,17.495,17.05,1208873.0,17.23,9,16.4345,15.574,13.7475,6.27,1739064.0,28491122.0,5.287,SPY,13.316,13.316,True,True,True,True,True,True,True,True,True,True,
NOG,ENTRY,True,BULL,26.99,26.1,27.1,26.1,1020860.0,26.31,9,25.1437,23.4121,23.2112,7.343,2316113.0,58022718.0,10.015,SPY,23.269,23.269,True,True,True,True,True,True,True,True,True,True,
LPG,ENTRY,True,BULL,52.2,50.4,52.29,50.38,346942.0,50.557,8,48.5523,45.2545,34.6565,7.513,515532.0,24879020.0,0.172,SPY,29.188,29.188,True,True,True,True,True,True,True,True,True,True,
ETON,ENTRY,True,BULL,62.17,61.15,62.91,59.59,292811.0,59.79,12,57.075,48.8021,27.8558,8.927,683806.0,39237741.0,6.328,SPY,123.436,123.436,True,True,True,True,True,True,True,True,True,True,
