symbol,status,grade,quality_score,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_spy_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now
TNET,READY_NOW,A,8,69.005,67.75,68.5,68.236,0.385,48.31,5.58,25,-1.09,0,1,1,PRE_BREAKOUT,True,True,True
NEOG,READY_NOW,A,8,11.615,11.52,11.56,11.532,0.239,25.65,9.61,23,-0.35,2,0,0,NONE,True,True,True
MAIN,READY_NOW,B,10,57.97,57.23,57.431,57.822,0.682,12.06,7.58,18,-0.35,2,1,3,BOTH,True,True,True
RVMD,READY_NOW,B,6,210.99,207.04,208.761,207.345,0.678,33.81,5.94,12,-0.82,1,1,0,NONE,True,True,True
RLI,READY_NOW,B,6,64.41,63.73,64.12,63.716,0.63,26.57,3.6,26,-0.61,1,1,0,NONE,True,True,True
TSCO,READY_NOW,B,6,34.725,34.095,34.631,34.452,0.516,17.34,42.22,16,-1.55,0,0,2,FORMING_NOW,True,True,True
BVS,READY_NOW,B,4,14.305,13.855,14.0,13.866,0.958,62.72,9.99,20,-1.04,0,0,0,NONE,True,True,True
ADMA,READY_NOW,C,5,9.52,9.345,9.33,9.459,1.382,17.59,53.47,19,0.16,2,0,1,FORMING_NOW,True,True,True
KKR,READY_NOW,C,3,109.66,106.805,109.412,107.458,1.786,13.38,27.38,16,-2.38,0,0,1,FORMING_NOW,True,True,True
CLH,READY_NOW,D,6,319.35,314.57,314.88,314.666,0.068,9.6,4.94,25,-0.1,2,1,3,BOTH,True,True,True
CET,READY_NOW,D,5,54.713,54.255,54.65,54.482,0.308,1.94,2.28,21,-0.72,1,1,3,BOTH,True,True,True
JHX,READY_NOW,D,4,29.46,28.66,28.65,29.336,2.395,24.24,6.06,18,0.03,2,1,1,PRE_BREAKOUT,True,True,True
BXSL,READY_NOW,D,4,24.7,24.37,24.61,24.543,0.271,5.42,5.93,14,-0.98,1,1,2,BOTH,True,True,True
GM,READY_NOW,D,2,87.12,85.121,87.08,85.965,1.281,3.2,5.15,26,-2.25,0,1,1,FORMING_NOW,True,True,True
BLFS,RECLAIM_PENDING,A+,12,35.47,35.17,35.46,35.47,0.028,29.22,6.9,10,-0.82,1,1,2,BOTH,True,True,False
WWW,RECLAIM_PENDING,A,8,19.44,19.1,19.65,19.746,0.488,21.07,39.45,26,-2.8,0,0,2,BOTH,True,True,False
SWK,RECLAIM_PENDING,A,7,96.575,95.735,98.13,97.822,0.314,21.36,7.74,21,-2.44,0,1,0,NONE,True,True,False
SSB,RECLAIM_PENDING,B,9,107.27,106.73,107.453,106.502,0.885,12.02,4.39,21,-0.67,1,1,3,BOTH,True,True,False
GEF-B,RECLAIM_PENDING,B,8,107.235,106.71,106.67,107.47,0.75,33.53,5.93,25,0.04,2,1,1,FORMING_NOW,True,True,False
AEG,RECLAIM_PENDING,B,8,9.195,9.105,9.24,9.215,0.266,12.05,4.32,24,-1.46,0,1,3,BOTH,True,True,False
CNMD,RECLAIM_PENDING,B,7,49.1,48.5,49.0,49.272,0.554,38.06,12.98,22,-1.02,0,0,3,BOTH,True,True,False
ALRM,RECLAIM_PENDING,B,7,56.66,56.19,56.74,56.283,0.805,24.23,2.55,18,-0.97,1,1,1,FORMING_NOW,True,True,False
EAT,RECLAIM_PENDING,B,6,231.085,228.52,232.47,230.947,0.655,67.58,9.37,15,-1.7,0,0,2,BOTH,True,True,False
