symbol,status,grade,quality_score,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_spy_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
BLFS,READY_NOW,A+,12,36.36,35.51,35.46,35.424,0.102,33.39,4.57,17,0.14,2,1,1,PRE_BREAKOUT,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,12,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A+|BULL_CANDLE
RGEN,READY_NOW,A+,11,174.74,168.27,169.5,169.315,0.109,30.68,7.41,17,-0.73,1,1,1,PRE_BREAKOUT,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,11,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A+|BULL_CANDLE
ICFI,READY_NOW,A,7,88.9,86.545,87.294,87.606,0.358,20.56,11.77,25,-0.86,1,0,0,NONE,True,True,True,False,True,True,False,BULL_CANDLE,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A|BULL_CANDLE
BMNR,READY_NOW,A,6,23.605,22.995,23.34,23.441,0.431,35.12,64.01,14,-1.48,0,0,0,NONE,True,True,True,False,True,True,False,BEAR_CANDLE,BEAR,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A
V,READY_NOW,B,11,375.7,372.82,373.277,372.237,0.279,13.39,2.56,14,-0.12,2,1,4,BOTH,True,True,True,False,True,True,False,HAMMER,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
SOLV,READY_NOW,B,8,90.08,89.38,90.0,89.295,0.783,14.3,4.33,14,-0.69,1,1,2,BOTH,True,True,True,False,True,True,False,SHOOTING_STAR_BULL_BODY,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
HCI,READY_NOW,B,8,186.12,184.04,185.761,185.614,0.079,11.47,10.72,25,-0.93,1,0,3,BOTH,True,True,True,False,True,True,False,BULL_CANDLE,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
GMAB,READY_NOW,B,7,34.14,32.34,33.11,32.924,0.562,36.05,3.64,17,-2.33,0,1,2,FORMING_NOW,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
GILD,READY_NOW,B,7,146.33,142.94,143.89,145.187,0.901,14.88,5.82,17,-0.66,1,1,1,FORMING_NOW,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
ADPT,READY_NOW,B,5,26.68,24.71,24.96,24.831,0.516,49.96,0.71,24,-1.0,0,0,1,PRE_BREAKOUT,True,True,True,False,True,True,False,BULL_CANDLE,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
DAR,READY_NOW,B,5,66.54,64.95,65.78,65.319,0.7,15.72,4.92,20,-1.26,0,1,0,NONE,True,True,True,False,True,True,False,BULL_CANDLE,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
A,READY_NOW,B,5,150.26,147.0,150.24,148.778,0.973,12.44,8.24,17,-2.16,0,0,1,PRE_BREAKOUT,True,True,True,False,True,True,False,BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
SHC,READY_NOW,C,9,18.98,18.56,18.55,18.741,1.032,14.1,4.38,26,0.05,2,1,4,BOTH,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
BXSL,READY_NOW,D,5,24.79,24.528,24.61,24.542,0.274,4.86,4.8,21,-0.33,2,1,2,BOTH,True,True,True,False,True,True,False,BULL_CANDLE,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
UGI,READY_NOW,D,4,37.82,37.21,37.62,37.719,0.262,7.23,6.58,18,-1.09,0,1,3,BOTH,True,True,True,False,True,True,False,BULL_CANDLE,BULL,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
AIZ,READY_NOW,D,3,286.24,281.28,283.763,283.066,0.246,7.82,5.53,27,-0.88,1,1,1,PRE_BREAKOUT,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
WDS,READY_NOW,D,2,23.96,23.18,23.833,23.23,2.53,15.99,2.54,3,-2.74,0,1,1,PRE_BREAKOUT,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
AUGO,READY_NOW,D,1,85.77,82.96,85.258,83.185,2.431,27.96,20.72,16,-2.7,0,0,1,PRE_BREAKOUT,True,True,True,False,True,True,False,DOJI,NEUTRAL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+
