symbol,status,grade,quality_score,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_spy_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now
XOM,READY_NOW,A+,12,163.185,161.31,162.51,162.62,0.068,15.99,6.27,21,-0.74,1,1,2,BOTH,True,True,True
HCI,READY_NOW,B,9,187.52,184.9,185.761,186.18,0.226,11.67,10.05,28,-0.46,2,0,3,BOTH,True,True,True
ING,READY_NOW,B,8,36.405,36.16,36.39,36.224,0.457,14.41,2.97,9,-0.63,1,1,2,BOTH,True,True,True
TRGP,READY_NOW,B,8,292.11,284.41,289.684,288.156,0.528,10.31,5.14,21,-1.82,0,1,3,BOTH,True,True,True
PLSE,READY_NOW,B,5,53.92,50.245,50.9,50.599,0.591,107.44,8.46,11,-1.29,0,0,1,PRE_BREAKOUT,True,True,True
VOD,READY_NOW,C,7,16.945,16.675,16.68,16.851,1.022,15.31,4.32,8,-0.03,2,1,2,BOTH,True,True,True
IMAX,READY_NOW,C,4,52.785,51.12,52.62,51.857,1.45,15.89,5.01,24,-2.85,0,1,1,PRE_BREAKOUT,True,True,True
PFG,READY_NOW,D,5,117.68,114.68,115.73,114.685,0.903,5.03,2.89,9,-0.91,1,1,3,BOTH,True,True,True
ETV,READY_NOW,D,4,15.23,15.1,15.201,15.101,0.654,0.98,1.04,13,-0.66,1,0,3,BOTH,True,True,True
FLR,READY_NOW,D,1,54.905,54.12,54.79,54.155,1.16,-0.87,5.9,28,-1.22,0,1,0,NONE,True,True,True
CNQ,RECLAIM_PENDING,A+,11,49.625,49.545,50.001,49.852,0.298,20.09,4.28,19,-0.91,1,1,1,FORMING_NOW,True,True,False
PR,RECLAIM_PENDING,A,8,22.755,22.75,23.019,23.073,0.235,21.09,7.06,19,-1.17,0,1,1,FORMING_NOW,True,True,False
ICFI,RECLAIM_PENDING,A,6,85.21,84.92,87.294,87.28,0.016,25.13,15.43,28,-2.72,0,0,0,NONE,True,True,False
EXK,RECLAIM_PENDING,A,6,10.23,10.015,10.3,10.298,0.02,15.63,32.48,26,-2.77,0,0,0,NONE,True,True,False
IMO,RECLAIM_PENDING,B,9,129.83,128.91,129.955,131.135,0.908,12.72,5.98,24,-0.8,1,1,3,BOTH,True,True,False
BP,RECLAIM_PENDING,B,8,44.59,44.54,44.671,44.617,0.121,12.26,5.42,19,-0.29,2,1,1,PRE_BREAKOUT,True,True,False
ET,RECLAIM_PENDING,B,8,21.13,20.95,21.12,21.249,0.612,11.39,3.25,21,-0.8,1,1,2,BOTH,True,True,False
CRL,RECLAIM_PENDING,B,7,277.92,276.0,277.07,279.134,0.745,47.04,8.37,26,-0.39,2,0,1,PRE_BREAKOUT,True,True,False
MET,RECLAIM_PENDING,B,7,97.05,96.236,97.26,96.714,0.562,10.92,3.84,29,-1.05,0,1,2,BOTH,True,True,False
DAR,RECLAIM_PENDING,B,6,65.35,64.72,65.78,65.442,0.514,18.55,6.62,23,-1.61,0,1,1,FORMING_NOW,True,True,False
KB,RECLAIM_PENDING,B,6,126.99,125.315,127.28,126.438,0.661,15.75,4.73,9,-1.54,0,1,1,FORMING_NOW,True,True,False
FSK,RECLAIM_PENDING,B,5,11.29,11.255,11.502,11.572,0.609,10.93,19.03,28,-2.15,0,0,1,FORMING_NOW,True,True,False
IOT,RECLAIM_PENDING,B,4,39.55,38.97,39.99,39.79,0.501,21.62,16.68,28,-2.55,0,0,0,NONE,True,True,False
TALO,RECLAIM_PENDING,B,4,16.985,16.77,17.23,17.087,0.83,20.16,9.29,19,-2.67,0,0,0,NONE,True,True,False
BMRN,RECLAIM_PENDING,B,4,63.92,63.87,64.92,65.18,0.4,13.69,9.95,27,-1.62,0,0,0,NONE,True,True,False
TTEK,RECLAIM_PENDING,C,6,35.68,35.52,35.588,35.985,1.115,27.49,16.77,24,-0.19,2,0,2,FORMING_NOW,True,True,False
CTSH,RECLAIM_PENDING,C,5,59.88,59.76,59.74,60.912,1.962,34.64,29.95,20,0.03,2,0,1,PRE_BREAKOUT,True,True,False
CHRD,RECLAIM_PENDING,C,5,144.61,143.61,144.25,146.898,1.835,15.31,7.93,20,-0.44,2,1,0,NONE,True,True,False
LILAK,RECLAIM_PENDING,C,4,8.4,8.23,8.455,8.55,1.119,72.18,5.78,29,-2.66,0,1,1,FORMING_NOW,True,True,False
SUN,RECLAIM_PENDING,C,4,77.94,76.95,78.0,76.996,1.287,21.25,2.84,3,-1.35,0,1,1,PRE_BREAKOUT,True,True,False
