symbol,status,grade,quality_score,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_spy_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
GPN,READY_NOW,A+,12,93.23,90.185,90.85,90.8,0.055,38.73,2.76,15,-0.73,1,1,2,BOTH,True,True,True,True,True,True,False,BULL_CANDLE,BULL,12,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A+|BULL_CANDLE
SSB,READY_NOW,B,9,107.685,106.47,107.453,106.601,0.793,11.28,4.02,22,-0.91,1,1,3,BOTH,True,True,True,True,True,True,False,BULL_CANDLE,BULL,10,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
PRU,READY_NOW,B,8,122.585,119.99,121.171,120.318,0.704,16.14,2.91,27,-0.97,1,1,2,BOTH,True,True,True,True,True,True,False,BULL_CANDLE,BULL,10,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
MMSI,READY_NOW,B,7,89.545,87.035,88.13,88.831,0.795,36.49,5.49,19,-1.24,0,1,2,FORMING_NOW,True,True,True,True,True,True,False,STRONG_BULL_CANDLE,BULL,9,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
EAT,READY_NOW,B,6,233.06,226.99,232.47,230.958,0.65,63.54,8.6,16,-2.36,0,0,2,BOTH,True,True,True,True,True,True,False,BULLISH_ENGULFING,BULL,9,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
BXSL,READY_NOW,D,5,24.83,24.53,24.61,24.568,0.171,6.36,5.08,15,-0.33,2,1,2,BOTH,True,True,True,True,True,True,False,BULLISH_ENGULFING,BULL,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
A,READY_NOW,D,2,150.785,147.78,150.24,150.486,0.164,9.16,7.92,11,-1.64,0,1,1,PRE_BREAKOUT,True,True,True,True,True,True,False,BULL_CANDLE,BULL,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
GM,READY_NOW,D,2,87.495,85.685,87.08,86.119,1.103,4.17,4.74,27,-1.6,0,1,1,FORMING_NOW,True,True,True,True,True,True,False,BULL_CANDLE,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
PAGP,WATCH_CLUSTER,C,7,27.725,27.38,27.48,27.145,1.22,12.77,3.4,6,-0.36,2,1,2,BOTH,True,False,True,True,False,True,False,BULL_CANDLE,BULL,5,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
UBS,WATCH_CLUSTER,C,5,55.33,55.07,55.15,54.22,1.687,15.31,1.17,3,-0.15,2,0,1,PRE_BREAKOUT,True,False,True,True,False,True,False,DOJI,NEUTRAL,4,False,RECLAIM_BREAKOUT|RS10+
CVE,WATCH_CLUSTER,C,5,32.385,32.01,32.16,31.577,1.813,13.01,3.04,12,-0.47,2,1,0,NONE,True,False,True,True,False,True,False,BULL_CANDLE,BULL,5,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
MHK,WATCH_CLUSTER,C,3,133.794,131.36,133.35,130.705,1.983,27.69,6.52,22,-1.49,0,1,0,NONE,True,False,True,True,False,True,False,BULL_CANDLE,BULL,5,False,RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
UGI,WATCH_CLUSTER,D,6,37.89,37.61,37.62,37.468,0.405,7.51,6.41,12,-0.03,2,1,3,BOTH,True,False,True,True,False,True,False,BULL_CANDLE,BULL,3,False,RECLAIM_BREAKOUT|BULL_CANDLE
BBY,WATCH_CLUSTER,D,3,90.59,87.13,87.35,85.48,2.141,25.93,0.75,28,-0.25,2,0,1,PRE_BREAKOUT,True,False,True,True,False,True,False,BULLISH_ENGULFING,BULL,6,True,RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
ALSN,WATCH_CLUSTER,D,2,130.87,128.16,129.169,126.194,2.303,10.93,4.45,9,-0.78,1,1,0,NONE,True,False,True,True,False,True,False,BULL_CANDLE,BULL,5,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
