symbol,status,grade,quality_score,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_spy_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
CRBG,READY_NOW,A+,14,33.74,32.35,32.47,32.598,0.394,30.58,3.07,19,-0.37,2,1,3,BOTH,True,True,True,True,True,True,False,STRONG_BULL_CANDLE,BULL,12,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A+|BULL_CANDLE
GPN,READY_NOW,A,9,92.945,89.725,90.85,90.428,0.465,36.96,3.06,13,-1.24,0,1,2,BOTH,True,True,True,True,True,True,False,BULL_CANDLE,BULL,12,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A|BULL_CANDLE
EQH,READY_NOW,B,11,51.78,49.64,49.715,50.022,0.617,30.21,3.59,19,-0.15,2,1,4,BOTH,True,True,True,True,True,True,False,STRONG_BULL_CANDLE,BULL,11,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
LNC,READY_NOW,B,8,44.39,43.03,43.06,43.437,0.875,33.37,6.88,23,-0.07,2,1,1,PRE_BREAKOUT,True,True,True,True,True,True,False,STRONG_BULL_CANDLE,BULL,10,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
BWIN,READY_NOW,B,7,30.915,29.71,30.04,30.22,0.598,64.15,5.14,14,-1.1,0,1,2,BOTH,True,True,True,True,True,True,False,BULL_CANDLE,BULL,9,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
RGEN,READY_NOW,B,7,173.602,168.858,169.5,170.802,0.768,42.06,8.02,9,-0.38,2,0,1,PRE_BREAKOUT,True,True,True,True,True,True,False,BULL_CANDLE,BULL,9,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
OII,READY_NOW,C,4,51.97,50.52,51.48,50.684,1.547,36.25,4.2,27,-1.86,0,1,1,PRE_BREAKOUT,True,True,True,True,True,True,False,BULLISH_ENGULFING,BULL,9,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
AVNT,READY_NOW,C,5,44.16,43.17,43.96,43.363,1.358,28.41,5.32,17,-1.8,0,1,2,FORMING_NOW,True,True,True,True,True,True,False,BULL_CANDLE,BULL,8,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
DRI,READY_NOW,C,5,220.74,215.44,219.43,216.574,1.302,11.68,3.93,14,-1.82,0,1,2,BOTH,True,True,True,True,True,True,False,STRONG_BULL_CANDLE,BULL,8,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
MA,WATCH_CLUSTER,B,10,589.005,583.695,583.71,579.455,0.729,24.57,2.03,6,-0.0,2,1,3,BOTH,True,False,True,True,False,True,False,BULL_CANDLE,BULL,8,True,RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
