symbol,marker,blue_marker,candle,current_price,day_open,day_high,day_low,day_volume,breakout_level,breakout_age_days,ema20_live,ema50_live,sma200_live,distance_above_ema20_pct,avg_volume_20,avg_dollar_volume_20,pct_below_52w_high,benchmark_symbol,rs_vs_benchmark_pct,rs_vs_spy_pct,market_pass,strong_uptrend,not_overextended,liquid_stock,near_year_high,outperforming_benchmark,outperforming_spy,slight_undercut,reclaimed_level,bullish_reclaim_candle,market_cap_usd
GILD,ENTRY,True,BULL,146.42,144.23,146.715,143.19,1882033.0,143.89,7,141.6841,136.6611,132.6813,3.343,6235422.0,865382183.0,5.767,SPY,8.097,8.097,True,True,True,True,True,True,True,True,True,True,
SNOW,ENTRY,True,BULL,330.475,326.5,332.65,323.04,2303193.0,323.1,15,318.2225,289.8066,217.2448,3.85,4191490.0,1357960460.0,3.356,SPY,27.781,27.781,True,True,True,True,True,True,True,True,True,True,
TRGP,ENTRY,True,BULL,292.5,290.91,293.7104,287.81,511901.0,289.6843,8,283.9539,275.3122,233.1291,3.01,1275210.0,358994399.0,5.014,SPY,13.673,13.673,True,True,True,True,True,True,True,True,True,True,
MDB,ENTRY,True,BULL,450.685,444.0,455.97,441.52,977812.0,443.31,11,411.7643,378.1425,341.2883,9.452,1482166.0,619867287.0,4.738,SPY,32.774,32.774,True,True,True,True,True,True,True,True,True,True,
DXCM,ENTRY,True,BULL,90.58,89.68,90.66,89.09,824952.0,89.56,12,87.4308,81.4968,70.1249,3.602,4926563.0,435775118.0,2.171,SPY,21.299,21.299,True,True,True,True,True,True,True,True,True,True,
RPRX,ENTRY,True,BULL,61.37,60.805,61.38,60.41,1087931.0,60.42,7,60.0077,57.9563,48.268,2.27,2657362.0,156867126.0,1.737,SPY,8.967,8.967,True,True,True,True,True,True,True,True,True,True,
CRBG,ENTRY,True,BULL,32.705,32.49,32.765,32.4,1164772.0,32.47,17,32.516,31.422,28.5444,0.581,4453474.0,147347135.0,6.047,SPY,20.628,20.628,True,True,True,True,True,True,True,True,True,True,
RVTY,ENTRY,True,BULL,127.71,127.34,128.69,125.456,707183.0,126.9,1,120.4113,114.1139,101.3438,6.062,1489819.0,177559283.0,1.61,SPY,20.691,20.691,True,True,True,True,True,True,True,True,True,True,
HALO,ENTRY,True,BULL,106.21,104.47,106.4576,103.47,471880.0,105.11,7,100.7972,90.2449,73.2539,5.37,2316344.0,234238482.0,3.146,SPY,58.08,58.08,True,True,True,True,True,True,True,True,True,True,
UGI,ENTRY,True,BULL,38.29,37.8,38.29,37.6,664480.0,37.62,8,37.1085,36.3115,36.1285,3.184,2468239.0,91678708.0,5.42,SPY,9.299,9.299,True,True,True,True,True,True,True,True,True,True,
WT,ENTRY,True,BULL,24.385,24.3,24.53,24.13,1563070.0,24.22,2,22.864,21.1049,16.6027,6.652,2452314.0,55651611.0,4.485,SPY,26.642,26.642,True,True,True,True,True,True,True,True,True,True,
NEO,ENTRY,True,BULL,17.875,17.77,18.075,17.19,757165.0,17.46,1,16.5261,14.9835,11.4805,8.162,1818098.0,30375218.0,9.539,SPY,68.377,68.377,True,True,True,True,True,True,True,True,True,True,
ETON,ENTRY,True,BULL,59.84,59.04,59.84,58.24,234456.0,59.79,9,55.681,47.2444,27.2009,7.469,644928.0,35984177.0,9.839,SPY,94.981,94.981,True,True,True,True,True,True,True,True,True,True,
