symbol,setup,grade,score,compression_setup,compression_grade,compression_score,current_price,breakout_level,distance_to_breakout_pct,ema20,ema50,sma200,pct_above_ema20,rs_pct,pct_below_52w_high,volume_contracting,range_contracting
UTZ,PRE_ENTRY,A,11,True,A,11,14.27,14.3,0.21,14.12,12.948,9.643,1.06,101.92,0.35,True,True
HTGC,PRE_ENTRY,A,11,True,A,11,17.76,17.93,0.95,17.419,16.796,15.659,1.96,15.31,0.95,True,True
SAFT,PRE_ENTRY,A,10,True,A,10,103.53,103.67,0.14,102.566,96.607,78.976,0.94,44.37,0.14,False,True
ITGR,PRE_ENTRY,A,10,True,A,10,126.33,126.8,0.37,124.833,117.371,93.072,1.2,37.97,0.37,False,True
ARX,PRE_ENTRY,A,11,True,A,10,19.82,19.9,0.4,19.206,17.332,14.355,3.2,47.88,0.4,True,True
UVE,PRE_ENTRY,A,9,True,A,10,44.4,45.14,1.64,43.817,42.685,36.656,1.33,14.61,1.64,True,True
ATKR,PRE_ENTRY,A,9,True,A,9,94.47,94.625,0.16,93.235,88.544,73.259,1.32,20.19,0.17,False,False
LXP-PC,PRE_ENTRY,A,8,True,A,9,49.375,49.48,0.21,49.145,48.395,45.899,0.47,5.56,0.21,False,True
TECH,PRE_ENTRY,A,9,True,A,9,72.41,72.58,0.23,72.215,70.311,61.276,0.27,28.61,0.23,False,False
LTC,PRE_ENTRY,A,10,True,A,9,43.5,43.6,0.23,41.833,40.629,37.474,3.99,19.2,0.23,False,True
VRSN,PRE_ENTRY,A,9,True,A,9,302.05,302.98,0.31,291.548,285.488,262.147,3.6,11.16,3.05,False,True
DSGR,PRE_ENTRY,A,9,True,A,9,34.84,35.06,0.63,34.693,33.528,29.277,0.42,24.01,0.63,False,False
GSL,PRE_ENTRY,A,10,True,A,9,46.13,46.5,0.8,44.862,43.143,38.239,2.83,20.05,0.94,False,True
TX,PRE_ENTRY,A,10,True,A,9,58.09,58.73,1.09,56.262,53.153,44.225,3.25,19.13,1.09,True,True
LXP,PRE_ENTRY,A,8,True,A,9,60.87,61.61,1.2,60.733,59.42,51.919,0.23,14.45,1.2,False,True
ING,PRE_ENTRY,A,9,True,A,9,36.92,37.52,1.6,36.205,34.756,29.567,1.98,16.53,1.6,False,True
HZO,PRE_ENTRY,A,9,True,A,8,52.32,52.5,0.34,51.191,46.389,33.136,2.2,54.88,0.34,False,False
ACA,PRE_ENTRY,B,7,True,A,8,145.45,145.98,0.36,145.235,143.354,125.037,0.15,6.11,0.97,False,False
ARCC,PRE_ENTRY,B,7,True,A,8,19.65,19.74,0.45,19.351,19.047,18.301,1.54,8.08,0.88,False,False
DGX,PRE_ENTRY,A,9,True,A,8,247.45,248.65,0.48,239.702,231.77,202.057,3.23,22.45,0.5,False,False
GILD,PRE_ENTRY,A,9,True,A,8,150.89,151.696,0.53,145.341,140.396,133.527,3.82,17.77,2.34,False,False
BNS,PRE_ENTRY,B,7,True,A,8,94.1,95.34,1.3,92.291,89.731,78.503,1.96,6.78,1.3,False,True
HALO,PRE_ENTRY,A,9,True,A,8,109.68,111.15,1.32,106.154,97.511,75.669,3.32,56.77,1.32,False,True
DV,PRE_ENTRY,A,8,True,A,8,13.47,13.65,1.32,13.286,12.631,10.951,1.39,26.71,1.32,False,False
ATAI,PRE_ENTRY,A,8,True,A,8,7.35,7.45,1.34,7.285,6.768,4.736,0.89,90.24,1.34,False,False
EQH,PRE_ENTRY,A,9,True,A,8,54.04,54.795,1.38,52.119,50.009,44.447,3.69,16.34,1.85,False,True
NWG,PRE_ENTRY,B,7,True,A,8,18.94,19.21,1.41,18.629,18.231,16.497,1.67,11.74,1.41,False,False
SAN,PRE_ENTRY,B,7,True,A,8,14.82,15.05,1.53,14.65,14.29,12.59,1.16,7.99,1.53,True,False
CRBG,PRE_ENTRY,A,9,True,A,8,34.88,35.425,1.54,33.655,32.339,28.726,3.64,16.55,2.1,False,True
CBZ,PRE_ENTRY,A,8,True,A,8,54.6,55.56,1.73,54.241,50.353,39.758,0.66,63.13,5.06,False,True
FLNG,PRE_ENTRY,B,7,True,B,7,32.52,32.87,1.06,31.366,30.677,28.028,3.68,7.43,1.38,False,True
ABBV,PRE_ENTRY,A,8,True,B,7,264.02,267.47,1.29,258.404,252.695,227.087,2.17,17.01,1.29,False,False
IQV,PRE_ENTRY,A,8,True,B,7,269.44,273.56,1.51,259.944,241.956,203.438,3.65,54.69,1.61,False,False
SUN,PRE_ENTRY,A,8,True,B,7,78.81,80.22,1.76,76.896,74.363,64.039,2.49,24.0,1.76,False,False
