symbol,setup,grade,score,compression_setup,compression_grade,compression_score,current_price,breakout_level,distance_to_breakout_pct,ema20,ema50,sma200,pct_above_ema20,rs_pct,pct_below_52w_high,volume_contracting,range_contracting
UTZ,PRE_ENTRY,A,11,True,A,11,14.22,14.267,0.33,14.083,12.992,9.649,0.97,102.83,0.33,True,True
SAFT,PRE_ENTRY,A,10,True,A,10,103.64,103.67,0.03,102.749,97.142,79.281,0.87,42.38,0.23,False,True
ITGR,PRE_ENTRY,A,10,True,A,10,126.38,126.8,0.33,125.105,118.06,93.627,1.02,34.58,0.33,False,True
TECH,PRE_ENTRY,A,9,True,A,9,72.47,72.58,0.15,72.253,70.473,61.369,0.3,24.78,0.15,False,False
HZO,PRE_ENTRY,A,9,True,A,9,52.41,52.56,0.29,51.425,46.858,33.429,1.91,44.79,0.29,False,False
UGP,PRE_ENTRY,A,9,False,A,8,7.6,7.63,0.39,7.171,6.593,5.279,5.98,54.34,1.55,False,True
DSGR,PRE_ENTRY,A,9,True,A,9,34.87,35.06,0.54,34.722,33.63,29.352,0.43,17.79,0.54,False,False
ARX,PRE_ENTRY,A,9,True,A,8,19.78,19.9,0.6,19.3,17.516,14.406,2.49,47.77,0.6,False,False
FRHC,PRE_ENTRY,A,9,False,A,8,174.13,176.19,1.17,164.744,159.798,142.741,5.7,16.74,1.7,True,True
CBZ,PRE_ENTRY,A,9,True,A,9,54.68,55.56,1.58,54.316,50.683,39.812,0.67,85.1,3.95,False,True
DAC,PRE_ENTRY,A,9,False,B,7,159.61,163.64,2.46,155.103,146.713,120.161,2.91,20.49,2.46,False,True
TX,PRE_ENTRY,A,9,False,A,8,56.84,58.73,3.22,56.401,53.451,44.432,0.78,16.21,3.22,True,True
SHEL,PRE_ENTRY,A,9,False,A,8,95.41,99.155,3.78,94.181,91.306,83.205,1.3,18.18,3.78,True,True
PBR-A,PRE_ENTRY,A,9,False,B,7,18.74,19.7,4.87,18.247,17.217,15.359,2.7,21.13,4.87,True,True
TMO,PRE_ENTRY,A,8,False,B,7,658.76,663.57,0.72,624.868,593.937,537.371,5.42,36.39,0.72,False,False
MFC,PRE_ENTRY,A,8,True,A,8,44.58,44.954,0.83,43.65,42.9,38.31,2.13,5.75,0.83,False,True
HALO,PRE_ENTRY,A,8,True,B,7,111.45,112.66,1.07,107.201,98.621,76.116,3.96,55.86,1.78,False,False
TAK,PRE_ENTRY,A,8,True,B,7,18.89,19.1,1.1,18.414,17.84,16.977,2.59,16.42,1.1,False,False
LILAK,PRE_ENTRY,A,8,True,B,7,8.8,8.915,1.29,8.573,8.126,6.253,2.64,60.35,1.29,False,False
GMAB,PRE_ENTRY,A,8,True,B,7,34.69,35.15,1.31,33.479,31.833,29.469,3.62,29.77,2.09,False,False
IQV,PRE_ENTRY,A,8,True,B,7,269.88,273.88,1.46,261.448,243.973,203.849,3.23,55.14,1.46,False,False
DV,PRE_ENTRY,A,8,True,A,8,13.44,13.65,1.54,13.315,12.694,10.978,0.94,26.47,1.54,False,False
DGX,PRE_ENTRY,A,8,True,A,8,244.88,248.7,1.54,240.776,232.837,202.706,1.7,21.33,1.59,False,False
ING,PRE_ENTRY,A,8,True,A,9,36.91,37.52,1.63,36.289,34.903,29.681,1.71,10.43,1.63,False,True
JOYY,PRE_ENTRY,A,8,False,B,7,79.54,80.9,1.68,76.306,73.685,64.189,4.24,15.31,1.68,True,False
GILD,PRE_ENTRY,A,8,True,B,7,150.56,153.23,1.74,146.249,141.161,133.819,2.95,15.57,2.56,False,False
DRTS,PRE_ENTRY,A,8,False,B,7,15.5,15.79,1.84,14.69,13.734,9.338,5.51,48.85,1.84,True,False
LILA,PRE_ENTRY,A,8,False,B,7,8.77,8.95,2.01,8.613,8.174,6.225,1.83,60.41,2.01,False,False
GNK,PRE_ENTRY,A,8,False,B,6,27.83,28.42,2.08,27.022,25.974,22.362,2.99,16.09,2.08,False,False
