symbol,status,grade,quality_score,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_spy_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
CNMD,RECLAIM_PENDING,A,11,49.15,49.0,49.0,49.213,0.435,40.46,12.89,19,0.0,2,0,3,BOTH,True,True,False,False,False,True,True,BEAR_CANDLE,BEAR,7,False,RECLAIM_BREAKOUT|RS20+|GRADE_A
VLTO,RECLAIM_PENDING,B,8,97.07,96.65,96.67,97.48,0.838,14.9,11.17,23,-0.02,2,0,2,PRE_BREAKOUT,True,True,False,False,False,True,True,SHOOTING_STAR_BULL_BODY,BULL,6,False,RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
OFG,RECLAIM_PENDING,C,8,52.14,51.47,51.42,52.263,1.64,16.02,4.28,28,0.1,2,1,3,BOTH,True,True,False,False,False,True,True,BULL_CANDLE,BULL,6,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
NWG,RECLAIM_PENDING,C,8,18.34,18.28,18.28,18.511,1.26,15.55,4.53,20,-0.0,2,1,3,BOTH,True,True,False,False,False,True,True,SHOOTING_STAR,BEAR,5,False,RECLAIM_BREAKOUT|RS10+
SHC,RECLAIM_PENDING,C,7,18.675,18.43,18.55,18.866,1.704,18.79,5.92,16,-0.65,1,1,3,BOTH,True,True,False,False,False,True,True,BEAR_CANDLE,BEAR,3,False,RECLAIM_BREAKOUT|RS10+
FBP,RECLAIM_PENDING,C,7,27.86,27.645,27.692,28.222,1.913,16.81,6.09,27,-0.17,2,1,2,BOTH,True,True,False,False,False,True,True,BULL_CANDLE,BULL,4,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
INSM,RECLAIM_PENDING,C,6,121.49,119.521,119.54,121.816,1.904,13.2,42.9,16,-0.02,2,0,2,BOTH,True,True,False,False,False,True,True,HAMMER_BEAR_BODY,BULL,4,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
ADMA,RECLAIM_PENDING,C,5,9.34,9.29,9.33,9.458,1.374,16.85,54.35,16,-0.43,2,0,1,FORMING_NOW,True,True,False,False,False,True,True,SHOOTING_STAR,BEAR,3,False,RECLAIM_BREAKOUT|RS10+
TILE,RECLAIM_PENDING,D,4,37.035,36.66,36.66,37.489,2.262,25.32,8.56,15,0.0,2,0,2,BOTH,True,True,False,False,False,True,True,BEAR_CANDLE,BEAR,4,False,RECLAIM_BREAKOUT|RS20+
HCI,WATCH_CLUSTER,C,7,187.66,186.19,185.761,183.821,1.044,23.01,9.98,15,0.23,2,0,3,BOTH,True,False,True,False,False,True,True,BULL_CANDLE,BULL,5,False,RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
