rule,n,hits,hit_rate,base_rate,lift
effort_low + undercut_low + hvclose_low + ret20_high,189,5,0.026455026455026454,0.0037542139135764633,7.046755210020516
absorb_high + effort_low + downreject_low + undercut_low,611,16,0.02618657937806874,0.0037542139135764633,6.975249674337821
effort_low + undercut_low + volcluster_high + hvclose_low,202,5,0.024752475247524754,0.0037542139135764633,6.593251161850879
effort_low + downreject_low + undercut_low + hvclose_low,567,13,0.02292768959435626,0.0037542139135764633,6.107187848684447
absorb_high + effort_low + undercut_low,703,16,0.02275960170697013,0.0037542139135764633,6.0624147240688595
downreject_low + undercut_low + hvclose_low + ret20_high,223,5,0.02242152466367713,0.0037542139135764633,5.972362038985998
effort_low + undercut_low + hvclose_low,620,13,0.020967741935483872,0.0037542139135764633,5.585121790651745
absorb_high + effort_low + undercut_low + volcluster_high,394,8,0.02030456852791878,0.0037542139135764633,5.408474049518284
undercut_low + hvclose_low + ret20_high,257,5,0.019455252918287938,0.0037542139135764633,5.182244103867228
effort_low + downreject_low + undercut_low + volcluster_high,689,13,0.018867924528301886,0.0037542139135764633,5.025798998844821
downreject_low + undercut_low + volcluster_high + hvclose_low,268,5,0.018656716417910446,0.0037542139135764633,4.969540054827901
effort_low + downreject_low + undercut_low,2210,39,0.01764705882352941,0.0037542139135764633,4.700600240096039
downreject_low + undercut_low + hvclose_low,745,13,0.0174496644295302,0.0037542139135764633,4.648020819065881
effort_low + downreject_low + undercut_low + ret20_high,987,16,0.016210739614994935,0.0037542139135764633,4.318011703161508
undercut_low + volcluster_high + hvclose_low,317,5,0.015772870662460567,0.0037542139135764633,4.2013777119680675
effort_low + undercut_low,2508,39,0.01555023923444976,0.0037542139135764633,4.142075969143638
effort_low + undercut_low + volcluster_high,836,13,0.01555023923444976,0.0037542139135764633,4.142075969143638
effort_low + downreject_low + hvclose_low + ret20_high,325,5,0.015384615384615385,0.0037542139135764633,4.09795918367347
undercut_low + hvclose_low,849,13,0.015312131919905771,0.0037542139135764633,4.078651955481839
absorb_high + effort_low + undercut_low + ret20_high,473,7,0.014799154334038054,0.0037542139135764633,3.9420114768951975
effort_low + undercut_low + ret20_high,1115,16,0.014349775784753363,0.0037542139135764633,3.822311704951039
effort_low + hvclose_low + ret20_high,350,5,0.014285714285714285,0.0037542139135764633,3.8052478134110785
absorb_high + downreject_low + undercut_low,1283,16,0.012470771628994544,0.0037542139135764633,3.3218063530946282
effort_low + undercut_low + ret20_high + vol_expand,326,4,0.012269938650306749,0.0037542139135764633,3.2683110053837487
downreject_low + hvclose_low + ret20_high,411,5,0.012165450121654502,0.0037542139135764633,3.2404786732211135
downreject_low + undercut_low,3283,39,0.01187937861711849,0.0037542139135764633,3.164278565523072
undercut_low + hvclose_low + vol_expand,172,2,0.011627906976744186,0.0037542139135764633,3.097294731846227
downreject_low + undercut_low + ret20_high,1451,16,0.011026878015161957,0.0037542139135764633,2.9372002419162015
downreject_low + undercut_low + volcluster_high,1180,13,0.011016949152542373,0.0037542139135764633,2.934555517122103
absorb_high + downreject_low + undercut_low + volcluster_high,731,8,0.01094391244870041,0.0037542139135764633,2.9151009240905665
hvclose_low + ret20_high,471,5,0.010615711252653927,0.0037542139135764633,2.827678842237532
absorb_high + effort_low + downreject_low,1535,16,0.010423452768729642,0.0037542139135764633,2.7764674599481487
undercut_low,3962,39,0.009843513377082282,0.0037542139135764633,2.621990542809754
absorb_high + undercut_low,1672,16,0.009569377990430622,0.0037542139135764633,2.548969827165316
absorb_high + effort_low + downreject_low + volcluster_high,841,8,0.009512485136741973,0.0037542139135764633,2.5338154286684946
absorb_high + effort_low,1705,16,0.0093841642228739,0.0037542139135764633,2.499634927284697
effort_low + downreject_low + ret20_high,1732,16,0.009237875288683603,0.0037542139135764633,2.460668331997926
absorb_high + effort_low + downreject_low + ret20_high,770,7,0.00909090909090909,0.0037542139135764633,2.42152133580705
undercut_low + ret20_high,1763,16,0.009075439591605219,0.0037542139135764633,2.4174007663190067
effort_low + downreject_low + undercut_low + vol_expand,448,4,0.008928571428571428,0.0037542139135764633,2.378279883381924
absorb_high + downreject_low + undercut_low + ret20_high,789,7,0.008871989860583017,0.0037542139135764633,2.363208401231215
effort_low + downreject_low + ret20_high + vol_expand,453,4,0.008830022075055188,0.0037542139135764633,2.3520295535432716
downreject_low + undercut_low + ret20_high + vol_expand,462,4,0.008658008658008658,0.0037542139135764633,2.3062107960067144
absorb_high + effort_low + volcluster_high,941,8,0.008501594048884165,0.0037542139135764633,2.264547051551758
undercut_low + volcluster_high,1564,13,0.008312020460358057,0.0037542139135764633,2.214050837726395
effort_low + ret20_high,1930,16,0.008290155440414507,0.0037542139135764633,2.2082267103732685
absorb_high + effort_low + ret20_high,856,7,0.008177570093457943,0.0037542139135764633,2.1782376502002667
absorb_high + undercut_low + volcluster_high,993,8,0.008056394763343404,0.0037542139135764633,2.145960499003227
effort_low + ret20_high + vol_expand,514,4,0.007782101167315175,0.0037542139135764633,2.0728976415468914
effort_low + downreject_low + volcluster_high + hvclose_low,669,5,0.007473841554559043,0.0037542139135764633,1.9907873463286658
effort_low + undercut_low + volcluster_high + ret20_high,408,3,0.007352941176470588,0.0037542139135764633,1.9585834333733494
effort_low + undercut_low + vol_expand,556,4,0.007194244604316547,0.0037542139135764633,1.9163118484803994
absorb_high + undercut_low + ret20_high,1011,7,0.006923837784371909,0.0037542139135764633,1.8442843012575951
downreject_low + ret20_high,2645,18,0.006805293005671078,0.0037542139135764633,1.8127078430616104
undercut_low + ret20_high + vol_expand,589,4,0.006791171477079796,0.0037542139135764633,1.8089463289560306
effort_low + volcluster_high + hvclose_low,743,5,0.006729475100942127,0.0037542139135764633,1.7925124289285028
effort_low + downreject_low + volcluster_high,1981,13,0.006562342251388188,0.0037542139135764633,1.7479936952065025
volcluster_high + hvclose_low + ret20_high,153,1,0.006535947712418301,0.0037542139135764633,1.7409630518874217
effort_low + downreject_low + hvclose_low,2016,13,0.006448412698412698,0.0037542139135764633,1.7176465824425007
absorb_high + effort_low + undercut_low + vol_expand,319,2,0.006269592476489028,0.0037542139135764633,1.6700147143496897
effort_low + undercut_low + ret20_high + dist_high_near,647,4,0.0061823802163833074,0.0037542139135764633,1.6467842160047945
absorb_high + downreject_low + hvclose_low + ret20_high,162,1,0.006172839506172839,0.0037542139135764633,1.6442428823381203
effort_low + hvclose_low,2157,13,0.00602688919796013,0.0037542139135764633,1.6053664859546044
absorb_high + downreject_low,3836,23,0.005995828988529718,0.0037542139135764633,1.597093060373263
absorb_high + downreject_low + ret20_high,1513,9,0.005948446794448116,0.0037542139135764633,1.5844719910436085
effort_low + downreject_low,6567,39,0.005938784833257195,0.0037542139135764633,1.5818983600749572
downreject_low + ret20_high + vol_expand,846,5,0.00591016548463357,0.0037542139135764633,1.5742751001109663
absorb_high + downreject_low + volcluster_high,2247,13,0.005785491766800178,0.0037542139135764633,1.5410660926586923
absorb_high + downreject_low + undercut_low + hvclose_low,176,1,0.005681818181818182,0.0037542139135764633,1.5134508348794065
ret20_high,3194,18,0.005635566687539136,0.0037542139135764633,1.5011309470563428
effort_low + volcluster_high,2312,13,0.005622837370242215,0.0037542139135764633,1.4977402725796203
effort_low,7338,39,0.005314799672935405,0.0037542139135764633,1.4156890883908755
absorb_high + effort_low + ret20_high + vol_expand,379,2,0.005277044854881266,0.0037542139135764633,1.4056324376716385
effort_low + downreject_low + hvclose_low + vol_expand,386,2,0.0051813471502590676,0.0037542139135764633,1.380141693983293
downreject_low + undercut_low + vol_expand,781,4,0.005121638924455826,0.0037542139135764633,1.364237372285662
effort_low + downreject_low + undercut_low + dist_high_near,986,5,0.005070993914807302,0.0037542139135764633,1.3507471954298962
downreject_low + undercut_low + volcluster_high + ret20_high,603,3,0.004975124378109453,0.0037542139135764633,1.3252106812874402
downreject_low + volcluster_high,3942,19,0.004819888381532217,0.0037542139135764633,1.2838608807297651
effort_low + downreject_low + volcluster_high + ret20_high,627,3,0.004784688995215311,0.0037542139135764633,1.274484913582658
effort_low + hvclose_low + vol_expand,420,2,0.004761904761904762,0.0037542139135764633,1.268415937803693
absorb_high + hvclose_low + ret20_high,210,1,0.004761904761904762,0.0037542139135764633,1.268415937803693
absorb_high + ret20_high,1901,9,0.004734350341925302,0.0037542139135764633,1.2610763400573275
ret20_high + vol_expand,1059,5,0.004721435316336166,0.0037542139135764633,1.257636198955503
downreject_low,10547,49,0.004645870863752726,0.0037542139135764633,1.237508296197971
effort_low + undercut_low + dist_high_near,1084,5,0.004612546125461255,0.0037542139135764633,1.2286316740718428
downreject_low + hvclose_low,2884,13,0.004507628294036061,0.0037542139135764633,1.200684989668544
absorb_high,5223,23,0.0044035994639096306,0.0037542139135764633,1.1729751061826224
effort_low + downreject_low + ret20_high + dist_high_near,915,4,0.004371584699453552,0.0037542139135764633,1.164447418311587
absorb_high + undercut_low + hvclose_low,229,1,0.004366812227074236,0.0037542139135764633,1.16317618750557
downreject_low + undercut_low + ret20_high + dist_high_near,925,4,0.004324324324324324,0.0037542139135764633,1.1518587975730834
downreject_low + volcluster_high + ret20_high,1162,5,0.004302925989672977,0.0037542139135764633,1.146158979943096
effort_low + volcluster_high + ret20_high,701,3,0.0042796005706134095,0.0037542139135764633,1.1399458499519637
downreject_low + volcluster_high + hvclose_low,1172,5,0.004266211604095563,0.0037542139135764633,1.136379466462353
absorb_high + downreject_low + volcluster_high + ret20_high,947,4,0.004223864836325237,0.0037542139135764633,1.1250996702799387
absorb_high + downreject_low + ret20_high + vol_expand,718,3,0.004178272980501393,0.0037542139135764633,1.1129554886021262
absorb_high + effort_low + volcluster_high + ret20_high,480,2,0.004166666666666667,0.0037542139135764633,1.1098639455782313
absorb_high + volcluster_high,3135,13,0.004146730462519936,0.0037542139135764633,1.104553591771637
absorb_high + undercut_low + ret20_high + vol_expand,486,2,0.00411522633744856,0.0037542139135764633,1.096161921558747
undercut_low + volcluster_high + ret20_high,764,3,0.003926701570680628,0.0037542139135764633,1.0459450796025216
hvclose_low,3314,13,0.003922751961375981,0.0037542139135764633,1.044893032650598
effort_low + ret20_high + dist_high_near,1026,4,0.003898635477582846,0.0037542139135764633,1.0384691888451287
downreject_low + ret20_high + dist_high_near,1554,6,0.003861003861003861,0.0037542139135764633,1.0284453549759673
undercut_low + vol_expand,1054,4,0.003795066413662239,0.0037542139135764633,1.0108817720636643
absorb_high + downreject_low + undercut_low + vol_expand,547,2,0.003656307129798903,0.0037542139135764633,0.973920829757863
volcluster_high,5267,19,0.003607366622365673,0.0037542139135764633,0.9608846766350361
absorb_high + effort_low + downreject_low + hvclose_low,279,1,0.0035842293906810036,0.0037542139135764633,0.9547216736156828
volcluster_high + hvclose_low,1401,5,0.0035688793718772305,0.0037542139135764633,0.9506329298314615
undercut_low + ret20_high + dist_high_near,1139,4,0.003511852502194908,0.0037542139135764633,0.9354428338499579
volcluster_high + ret20_high,1439,5,0.0034746351633078527,0.0037542139135764633,0.9255293500304917
absorb_high + volcluster_high + ret20_high,1183,4,0.0033812341504649195,0.0037542139135764633,0.9006503700381251
absorb_high + ret20_high + vol_expand,900,3,0.0033333333333333335,0.0037542139135764633,0.8878911564625851
effort_low + downreject_low + vol_expand,1208,4,0.0033112582781456954,0.0037542139135764633,0.8820110825787268
absorb_high + effort_low + downreject_low + vol_expand,608,2,0.003289473684210526,0.0037542139135764633,0.8762083780880773
absorb_high + undercut_low + volcluster_high + ret20_high,610,2,0.003278688524590164,0.0037542139135764633,0.8733355637336903
absorb_high + effort_low + hvclose_low,313,1,0.003194888178913738,0.0037542139135764633,0.8510138879833083
ret20_high + dist_high_near,1921,6,0.0031233732431025507,0.0037542139135764633,0.8319646442647856
downreject_low + undercut_low + dist_high_near,1608,5,0.003109452736318408,0.0037542139135764633,0.8282566758046502
