feature,gap_rate,control_rate,rate_diff,fisher_p
ema20_gt_ema50,0.8076923076923077,1.0,-0.1923076923076923,0.00862743740189536
shallow_pullback_8,0.7692307692307693,1.0,-0.23076923076923073,0.0030707828040644506
close_gt_ema20,0.6923076923076923,1.0,-0.3076923076923077,0.00035296354069706327
range_contract_075,0.5,0.8157894736842105,-0.3157894736842105,0.0126869302956601
trend_stack,0.6153846153846154,1.0,-0.3846153846153846,3.506715696535758e-05
range_vs_prior_075,0.5,0.8947368421052632,-0.39473684210526316,0.0010597949788348346
volume_dry_080,0.15384615384615385,0.5789473684210527,-0.4251012145748988,0.0007669604910670023
atr_contract_080,0.0,0.4473684210526316,-0.4473684210526316,2.4951680815431356e-05
near_high_5,0.5,1.0,-0.5,7.9171133287374e-07
higher_lows_2of2,0.34615384615384615,0.9473684210526315,-0.6012145748987854,2.5878605956305705e-07
