rule,support,gap_hits,control_hits,precision_in_sample,gap_coverage,control_coverage,lift
shallow_pullback_8 + ema20_gt_ema50,56,18,38,0.32142857142857145,0.6923076923076923,1.0,0.6923076923076923
shallow_pullback_8 + close_gt_ema20,55,17,38,0.3090909090909091,0.6538461538461539,1.0,0.6538461538461539
shallow_pullback_8 + trend_stack,54,16,38,0.2962962962962963,0.6153846153846154,1.0,0.6153846153846154
trend_stack + ema20_gt_ema50,54,16,38,0.2962962962962963,0.6153846153846154,1.0,0.6153846153846154
trend_stack + close_gt_ema20,54,16,38,0.2962962962962963,0.6153846153846154,1.0,0.6153846153846154
ema20_gt_ema50 + close_gt_ema20,54,16,38,0.2962962962962963,0.6153846153846154,1.0,0.6153846153846154
shallow_pullback_8 + trend_stack + ema20_gt_ema50,54,16,38,0.2962962962962963,0.6153846153846154,1.0,0.6153846153846154
shallow_pullback_8 + trend_stack + close_gt_ema20,54,16,38,0.2962962962962963,0.6153846153846154,1.0,0.6153846153846154
shallow_pullback_8 + ema20_gt_ema50 + close_gt_ema20,54,16,38,0.2962962962962963,0.6153846153846154,1.0,0.6153846153846154
trend_stack + ema20_gt_ema50 + close_gt_ema20,54,16,38,0.2962962962962963,0.6153846153846154,1.0,0.6153846153846154
shallow_pullback_8 + trend_stack + ema20_gt_ema50 + close_gt_ema20,54,16,38,0.2962962962962963,0.6153846153846154,1.0,0.6153846153846154
range_vs_prior_075 + ema20_gt_ema50,47,13,34,0.2765957446808511,0.5,0.8947368421052632,0.5588235294117647
shallow_pullback_8 + range_contract_075,42,11,31,0.2619047619047619,0.4230769230769231,0.8157894736842105,0.5186104218362283
range_contract_075 + ema20_gt_ema50,42,11,31,0.2619047619047619,0.4230769230769231,0.8157894736842105,0.5186104218362283
near_high_5 + shallow_pullback_8,51,13,38,0.2549019607843137,0.5,1.0,0.5
near_high_5 + trend_stack,51,13,38,0.2549019607843137,0.5,1.0,0.5
near_high_5 + ema20_gt_ema50,51,13,38,0.2549019607843137,0.5,1.0,0.5
near_high_5 + close_gt_ema20,51,13,38,0.2549019607843137,0.5,1.0,0.5
near_high_5 + shallow_pullback_8 + trend_stack,51,13,38,0.2549019607843137,0.5,1.0,0.5
near_high_5 + shallow_pullback_8 + ema20_gt_ema50,51,13,38,0.2549019607843137,0.5,1.0,0.5
near_high_5 + shallow_pullback_8 + close_gt_ema20,51,13,38,0.2549019607843137,0.5,1.0,0.5
near_high_5 + trend_stack + ema20_gt_ema50,51,13,38,0.2549019607843137,0.5,1.0,0.5
near_high_5 + trend_stack + close_gt_ema20,51,13,38,0.2549019607843137,0.5,1.0,0.5
near_high_5 + ema20_gt_ema50 + close_gt_ema20,51,13,38,0.2549019607843137,0.5,1.0,0.5
near_high_5 + shallow_pullback_8 + trend_stack + ema20_gt_ema50,51,13,38,0.2549019607843137,0.5,1.0,0.5
near_high_5 + shallow_pullback_8 + trend_stack + close_gt_ema20,51,13,38,0.2549019607843137,0.5,1.0,0.5
near_high_5 + shallow_pullback_8 + ema20_gt_ema50 + close_gt_ema20,51,13,38,0.2549019607843137,0.5,1.0,0.5
near_high_5 + trend_stack + ema20_gt_ema50 + close_gt_ema20,51,13,38,0.2549019607843137,0.5,1.0,0.5
shallow_pullback_8 + range_vs_prior_075,45,11,34,0.24444444444444444,0.4230769230769231,0.8947368421052632,0.47285067873303166
shallow_pullback_8 + range_vs_prior_075 + ema20_gt_ema50,45,11,34,0.24444444444444444,0.4230769230769231,0.8947368421052632,0.47285067873303166
range_contract_075 + close_gt_ema20,41,10,31,0.24390243902439024,0.38461538461538464,0.8157894736842105,0.4714640198511167
shallow_pullback_8 + range_contract_075 + ema20_gt_ema50,41,10,31,0.24390243902439024,0.38461538461538464,0.8157894736842105,0.4714640198511167
range_contract_075 + range_vs_prior_075,38,9,29,0.23684210526315788,0.34615384615384615,0.7631578947368421,0.45358090185676386
range_contract_075 + range_vs_prior_075 + ema20_gt_ema50,38,9,29,0.23684210526315788,0.34615384615384615,0.7631578947368421,0.45358090185676386
range_contract_075 + trend_stack,40,9,31,0.225,0.34615384615384615,0.8157894736842105,0.42431761786600497
shallow_pullback_8 + range_contract_075 + trend_stack,40,9,31,0.225,0.34615384615384615,0.8157894736842105,0.42431761786600497
shallow_pullback_8 + range_contract_075 + close_gt_ema20,40,9,31,0.225,0.34615384615384615,0.8157894736842105,0.42431761786600497
range_contract_075 + trend_stack + ema20_gt_ema50,40,9,31,0.225,0.34615384615384615,0.8157894736842105,0.42431761786600497
range_contract_075 + trend_stack + close_gt_ema20,40,9,31,0.225,0.34615384615384615,0.8157894736842105,0.42431761786600497
range_contract_075 + ema20_gt_ema50 + close_gt_ema20,40,9,31,0.225,0.34615384615384615,0.8157894736842105,0.42431761786600497
shallow_pullback_8 + range_contract_075 + trend_stack + ema20_gt_ema50,40,9,31,0.225,0.34615384615384615,0.8157894736842105,0.42431761786600497
shallow_pullback_8 + range_contract_075 + trend_stack + close_gt_ema20,40,9,31,0.225,0.34615384615384615,0.8157894736842105,0.42431761786600497
shallow_pullback_8 + range_contract_075 + ema20_gt_ema50 + close_gt_ema20,40,9,31,0.225,0.34615384615384615,0.8157894736842105,0.42431761786600497
range_contract_075 + trend_stack + ema20_gt_ema50 + close_gt_ema20,40,9,31,0.225,0.34615384615384615,0.8157894736842105,0.42431761786600497
shallow_pullback_8 + range_contract_075 + range_vs_prior_075,37,8,29,0.21621621621621623,0.3076923076923077,0.7631578947368421,0.40318302387267907
shallow_pullback_8 + range_contract_075 + range_vs_prior_075 + ema20_gt_ema50,37,8,29,0.21621621621621623,0.3076923076923077,0.7631578947368421,0.40318302387267907
range_vs_prior_075 + trend_stack,43,9,34,0.20930232558139536,0.34615384615384615,0.8947368421052632,0.38687782805429866
range_vs_prior_075 + close_gt_ema20,43,9,34,0.20930232558139536,0.34615384615384615,0.8947368421052632,0.38687782805429866
shallow_pullback_8 + range_vs_prior_075 + trend_stack,43,9,34,0.20930232558139536,0.34615384615384615,0.8947368421052632,0.38687782805429866
shallow_pullback_8 + range_vs_prior_075 + close_gt_ema20,43,9,34,0.20930232558139536,0.34615384615384615,0.8947368421052632,0.38687782805429866
range_vs_prior_075 + trend_stack + ema20_gt_ema50,43,9,34,0.20930232558139536,0.34615384615384615,0.8947368421052632,0.38687782805429866
range_vs_prior_075 + trend_stack + close_gt_ema20,43,9,34,0.20930232558139536,0.34615384615384615,0.8947368421052632,0.38687782805429866
range_vs_prior_075 + ema20_gt_ema50 + close_gt_ema20,43,9,34,0.20930232558139536,0.34615384615384615,0.8947368421052632,0.38687782805429866
shallow_pullback_8 + range_vs_prior_075 + trend_stack + ema20_gt_ema50,43,9,34,0.20930232558139536,0.34615384615384615,0.8947368421052632,0.38687782805429866
shallow_pullback_8 + range_vs_prior_075 + trend_stack + close_gt_ema20,43,9,34,0.20930232558139536,0.34615384615384615,0.8947368421052632,0.38687782805429866
shallow_pullback_8 + range_vs_prior_075 + ema20_gt_ema50 + close_gt_ema20,43,9,34,0.20930232558139536,0.34615384615384615,0.8947368421052632,0.38687782805429866
range_vs_prior_075 + trend_stack + ema20_gt_ema50 + close_gt_ema20,43,9,34,0.20930232558139536,0.34615384615384615,0.8947368421052632,0.38687782805429866
higher_lows_2of2 + ema20_gt_ema50,45,9,36,0.2,0.34615384615384615,0.9473684210526315,0.3653846153846154
range_contract_075 + range_vs_prior_075 + trend_stack,36,7,29,0.19444444444444445,0.2692307692307692,0.7631578947368421,0.3527851458885941
range_contract_075 + range_vs_prior_075 + close_gt_ema20,36,7,29,0.19444444444444445,0.2692307692307692,0.7631578947368421,0.3527851458885941
shallow_pullback_8 + range_contract_075 + range_vs_prior_075 + trend_stack,36,7,29,0.19444444444444445,0.2692307692307692,0.7631578947368421,0.3527851458885941
shallow_pullback_8 + range_contract_075 + range_vs_prior_075 + close_gt_ema20,36,7,29,0.19444444444444445,0.2692307692307692,0.7631578947368421,0.3527851458885941
