symbol,gap_date,gap_pct,pre_entry_at_T10,compression_at_T10,pre_entry_any_T10_T1,compression_any_T10_T1,earliest_pre_entry_lead,earliest_compression_lead
CRNX,2026-07-07,98.85796873309572,False,False,False,False,,
UTZ,2026-07-21,88.99329240512957,False,False,False,False,,
APGE,2026-06-22,46.71388596274935,False,False,False,False,,
SAFT,2026-07-24,41.22566313180464,False,False,False,False,,
ATAI,2026-07-16,31.809699276782165,False,False,False,False,,
DSGR,2026-07-16,26.310042440590053,False,False,False,False,,
ATAI,2026-04-20,24.689822177612243,False,False,False,False,,
TECH,2026-06-25,19.27649810279066,False,False,False,False,,
SAIC,2026-06-01,15.345493794405574,False,False,False,False,,
V,2026-04-29,8.761728677273272,False,False,False,False,,
DGX,2026-07-23,8.702280106511196,False,False,False,False,,
AMCR,2026-05-06,7.943679916982349,False,False,False,False,,
ROKU,2026-05-01,7.665584570295425,False,False,True,False,1.0,
ATAI,2026-05-18,7.347449218028612,False,False,False,False,,
ACA,2026-06-22,6.743225971795064,False,False,True,False,5.0,
EXPD,2026-05-05,6.577904722455941,False,False,False,False,,
BBVA,2026-07-30,6.313331445310899,False,False,True,True,6.0,4.0
UTZ,2026-05-06,6.11182875941898,False,False,False,False,,
PAYO,2026-05-07,5.555555010474222,False,False,False,False,,
IDT,2026-06-04,5.478443127079791,False,False,False,False,,
KO,2026-04-28,5.408261185409957,False,False,False,False,,
PHVS,2026-05-08,5.357143316169766,False,False,True,False,4.0,
SEIC,2026-04-23,5.1303247760422055,False,False,False,False,,
KO,2026-07-28,5.031525362541434,False,False,True,True,8.0,8.0
LNG,2026-08-06,5.028269848794231,False,False,False,False,,
USFD,2026-08-06,4.816403692083426,False,False,True,False,7.0,
KFY,2026-06-23,4.574299795052261,False,False,False,False,,
SON,2026-07-23,4.551224934835751,False,False,False,False,,
MA,2026-04-29,4.406843102476321,False,False,False,False,,
ROKU,2026-06-12,4.321295716583418,True,False,True,False,10.0,
IOSP,2026-08-05,4.129183341484843,True,False,True,True,10.0,4.0
BBVA,2026-05-26,4.112651058467609,False,False,False,False,,
PAYO,2026-06-15,4.074075486924911,False,False,False,False,,
