market,rule,target_R,N,target_rate,stop_rate,mean_return,mean_R,win_rate,avg_risk_pct
CA,BOTH_HIGHS,1,91,0.3626373626373626,0.13186813186813187,0.00909362087392206,0.2186389618612599,0.5824175824175825,0.05977101496296579
CA,BOTH_HIGHS,2,91,0.03296703296703297,0.13186813186813187,0.01143255868443051,0.26894758663599416,0.5604395604395604,0.05977101496296579
CA,BOTH_HIGHS,3,91,0.0,0.13186813186813187,0.011564138985068466,0.2720576999098887,0.5604395604395604,0.05977101496296579
CA,BOTH_HIGHS+EMA20,1,87,0.3333333333333333,0.13793103448275862,0.0065490986287334045,0.18102474347029582,0.5632183908045977,0.05962951158170835
CA,BOTH_HIGHS+EMA20,2,87,0.022988505747126436,0.13793103448275862,0.007636656259440579,0.21205813611995242,0.5402298850574713,0.05962951158170835
CA,BOTH_HIGHS+EMA20,3,87,0.0,0.13793103448275862,0.007696649383301934,0.21358045108401533,0.5402298850574713,0.05962951158170835
CA,PREV5_HIGH,1,92,0.358695652173913,0.14130434782608695,0.009349986940626394,0.2168770744179898,0.5869565217391305,0.059070409536470525
CA,PREV5_HIGH,2,92,0.03260869565217391,0.14130434782608695,0.0116635015140641,0.2666388663147378,0.5652173913043478,0.059070409536470525
CA,PREV5_HIGH,3,92,0.0,0.14130434782608695,0.011793651594042949,0.26971517400956835,0.5652173913043478,0.059070409536470525
CA,REV_HIGH,1,371,0.4555256064690027,0.31805929919137466,0.005689612991871977,0.15547854044971274,0.5902964959568733,0.04069542645665099
CA,REV_HIGH,2,371,0.18328840970350405,0.3611859838274933,0.008241760615222308,0.24173420651375668,0.5336927223719676,0.04069542645665099
CA,REV_HIGH,3,371,0.06199460916442048,0.3665768194070081,0.009099050654181267,0.2591178395844385,0.5256064690026954,0.04069542645665099
CA,REV_HIGH+EMA20,1,234,0.41452991452991456,0.2692307692307692,0.008533382247098197,0.17991651064557054,0.6111111111111112,0.04538625245220008
CA,REV_HIGH+EMA20,2,234,0.11965811965811966,0.2948717948717949,0.009829501050283882,0.21785530888367519,0.5598290598290598,0.04538625245220008
CA,REV_HIGH+EMA20,3,234,0.017094017094017096,0.2948717948717949,0.010159524519187245,0.2245223418393602,0.5555555555555556,0.04538625245220008
HK,BOTH_HIGHS,1,68,0.27941176470588236,0.14705882352941177,0.007269584145840452,0.08827117769497418,0.5147058823529411,0.08259537140464991
HK,BOTH_HIGHS,2,68,0.058823529411764705,0.14705882352941177,0.006775213495138353,0.07499828162520676,0.47058823529411764,0.08259537140464991
HK,BOTH_HIGHS,3,68,0.014705882352941176,0.14705882352941177,0.008985585217435704,0.09550871893614182,0.47058823529411764,0.08259537140464991
HK,BOTH_HIGHS+EMA20,1,68,0.27941176470588236,0.14705882352941177,0.007931424197843082,0.08827117769497418,0.5147058823529411,0.08325721145665255
HK,BOTH_HIGHS+EMA20,2,68,0.04411764705882353,0.14705882352941177,0.006618256541994629,0.06441007512478214,0.47058823529411764,0.08325721145665255
HK,BOTH_HIGHS+EMA20,3,68,0.014705882352941176,0.14705882352941177,0.00796300809283464,0.07579269472965516,0.47058823529411764,0.08325721145665255
HK,PREV5_HIGH,1,69,0.2753623188405797,0.14492753623188406,0.006450937769153956,0.07686995030792962,0.5072463768115942,0.08241963755893764
HK,PREV5_HIGH,2,69,0.057971014492753624,0.14492753623188406,0.0059637319104910175,0.06378941505076752,0.463768115942029,0.08241963755893764
HK,PREV5_HIGH,3,69,0.014492753623188406,0.14492753623188406,0.008142069260001451,0.08400259964705131,0.463768115942029,0.08241963755893764
HK,REV_HIGH,1,313,0.4696485623003195,0.3738019169329074,0.007007033902428987,0.09629728276537555,0.5399361022364217,0.04821822322542565
HK,REV_HIGH,2,313,0.22364217252396165,0.4249201277955272,0.010295181841539594,0.17104055303854923,0.46325878594249204,0.04821822322542565
HK,REV_HIGH,3,313,0.08945686900958466,0.44089456869009586,0.009806388688395253,0.13837752887809962,0.44089456869009586,0.04821822322542565
HK,REV_HIGH+EMA20,1,173,0.43352601156069365,0.27167630057803466,0.007319734991962166,0.14513985527072876,0.5606936416184971,0.059114403530877595
HK,REV_HIGH+EMA20,2,173,0.18497109826589594,0.2947976878612717,0.009105221043543521,0.21049627036960333,0.49710982658959535,0.059114403530877595
HK,REV_HIGH+EMA20,3,173,0.07514450867052024,0.31213872832369943,0.009268979112448127,0.18547233926890247,0.4797687861271676,0.059114403530877595
US,BOTH_HIGHS,1,312,0.28205128205128205,0.20512820512820512,0.011174318729918501,0.13725494663285057,0.5865384615384616,0.07393030255171641
US,BOTH_HIGHS,2,312,0.04487179487179487,0.21153846153846154,0.011826303361931282,0.14225524372952014,0.5576923076923077,0.07393030255171641
US,BOTH_HIGHS,3,312,0.009615384615384616,0.21153846153846154,0.011716750046065068,0.14191384638786117,0.5576923076923077,0.07393030255171641
US,BOTH_HIGHS+EMA20,1,290,0.2896551724137931,0.19655172413793104,0.012205178471421793,0.15396854300447993,0.596551724137931,0.07437725797166618
US,BOTH_HIGHS+EMA20,2,290,0.041379310344827586,0.20344827586206896,0.012553530601153336,0.1534219276094678,0.5655172413793104,0.07437725797166618
US,BOTH_HIGHS+EMA20,3,290,0.010344827586206896,0.20344827586206896,0.012474755412945534,0.15374964628415588,0.5655172413793104,0.07437725797166618
US,PREV5_HIGH,1,314,0.28662420382165604,0.2070063694267516,0.011285843333690603,0.13825433393344444,0.5859872611464968,0.07351456654695436
