group,n,mean3,win3,med3,maxup3,maxdd3,mean5,win5,med5,maxup5,maxdd5,mean10,win10,med10,maxup10,maxdd10
BASELINE,197118,0.0024554956998284077,0.5302829320851185,0.0021492968192782236,0.026846353445013512,-0.024227060973681276,0.0040645559682001295,0.5386036240032973,0.003574625025022593,0.036108769083326685,-0.03204806995217287,0.008038573388827065,0.5506308439835041,0.006780881583525744,0.05373633265053637,-0.04587191977339866
CORE,3401,0.003572543689540872,0.549469964664311,0.003619332152415944,0.02903478975683968,-0.02656357613187402,0.003869773670947679,0.5306423099587507,0.003074134612780388,0.037907966708876535,-0.03531865250489584,0.005924779623556925,0.5349867139061116,0.005774267949147038,0.05621451165918571,-0.05190154557704677
SCORE>=6,1782,0.0036766868322465622,0.5603593486805165,0.004559741471516832,0.030338528062886127,-0.029303537338344298,0.003813922171701274,0.5300393037619315,0.002598693045310796,0.039086206174520244,-0.03823213888526975,0.0037121191769629524,0.530933633295838,0.005423088382961017,0.057441307998144106,-0.05725671723605149
SCORE>=7,219,0.0055646610316110404,0.5596330275229358,0.0036098184771287123,0.02952809710671091,-0.023901094931420647,0.005872857181779179,0.5688073394495413,0.005911113480756347,0.03780009399521729,-0.030925693827618356,0.009440674278740884,0.6009174311926605,0.013648403436841816,0.05327749181141418,-0.043550024967639295
SCORE>=8,20,0.005067749444948676,0.5789473684210527,0.00879169035803451,0.03612754648460153,-0.02239246911550884,0.0129773200594649,0.6842105263157895,0.017446248803065334,0.043317614236434696,-0.026215474949279328,0.01942099535406718,0.5263157894736842,0.007923281271357219,0.06215438098906706,-0.03264084159775518
VOL_EXPAND,1451,0.0034797066778766124,0.5544827586206896,0.004098584053761178,0.03159790515617458,-0.031145351910215148,0.0037121586920274346,0.526896551724138,0.002311430571118045,0.04042849911998917,-0.04068131874780537,0.004065071752726124,0.5369220151828847,0.005986543461677263,0.05933405215636404,-0.06026056830565013
EMA20_RECLAIM,539,0.004663423149725347,0.5724907063197026,0.0046930747434971165,0.026575015977760554,-0.022504096266510076,0.004816423190232056,0.5520446096654275,0.003676357883331649,0.034930434702492116,-0.029033213755472603,0.0049213797809217145,0.542910447761194,0.008970292891660847,0.05079812806512597,-0.044101904747346515
PREV_HIGH_RECLAIM,31,0.010102208503434514,0.6333333333333333,0.015456853950760241,0.03473819866607603,-0.018584384888039193,0.011519385159101265,0.6666666666666666,0.0125305764267849,0.04206969214483756,-0.024118448278683004,0.016635508961957497,0.5333333333333333,0.00516002113026115,0.05744112856339201,-0.032011341984582796
US_CORE,2284,0.0037973871246809615,0.5589137100306614,0.004559741471516832,0.03028891943603395,-0.02743754609297516,0.0030772166788412846,0.530469092503288,0.003107768982081538,0.03890850100822059,-0.036977062391069945,0.005714255879303476,0.538664323374341,0.006237509770396388,0.05771673446886489,-0.054144401123252216
US_SCORE>=7,139,0.0034791124344305526,0.5251798561151079,0.0026615583024056644,0.030678880285739497,-0.02557655162865389,0.0015452326672427865,0.5107913669064749,0.0013246267565074632,0.03819021189228454,-0.03468272187666875,0.006225328266977953,0.5539568345323741,0.01312741921218552,0.05375394974718507,-0.04967494260628385
HK_CORE,551,0.0017110034234238951,0.48363636363636364,-0.000928463677196345,0.02950226503858213,-0.028659679526790337,0.0048103644201863685,0.48363636363636364,-0.0021414184249878843,0.040441565148802115,-0.03705140418677756,0.003724636372540946,0.48175182481751827,-0.003002204007682252,0.058109497745347065,-0.05360466270781311
HK_SCORE>=7,25,0.010276348790443096,0.5416666666666666,0.0013235610232726902,0.036197385603375105,-0.02392264622345137,0.012257152552363334,0.7083333333333334,0.014726605179444352,0.045162599549584646,-0.02992856764041568,0.012583043675376146,0.7083333333333334,0.012313127390019996,0.060776189858613223,-0.04107786608003337
CA_CORE,566,0.004479345792452973,0.5754884547069272,0.0039138293481093545,0.023492534938795537,-0.020971870468645126,0.006161954109515007,0.5772646536412078,0.005735962340010836,0.03137919605388037,-0.026906847219996942,0.00891737383932532,0.5719360568383659,0.009977471475319355,0.048297084501021846,-0.0411767722008061
CA_SCORE>=7,55,0.008779401918813195,0.6545454545454545,0.010200115385039066,0.023709519182985205,-0.01965735471461778,0.014024070247716253,0.6545454545454545,0.007235130638100662,0.033601429977087025,-0.021865768912615782,0.0161955148263009,0.6727272727272727,0.015180793829892902,0.04880119351677912,-0.029149447904565622
