symbol,market,reversal_date,entry_date,delay,rule,entry,reversal_score,ret_3d,maxup_3d,maxdd_3d,ret_5d,maxup_5d,maxdd_5d,ret_10d,maxup_10d,maxdd_10d
0005.HK,HK,2020-02-04,2020-02-06,2,REV_HIGH,41.3686408996582,6,0.012953337536369736,0.017271126586594132,-0.007772014871787358,0.026770243203469768,0.03454227662442011,-0.007772014871787358,-0.018998498876070413,0.03454230486877541,-0.02936095447903231
0005.HK,HK,2020-05-05,2020-05-08,3,REV_HIGH,28.257854461669922,5,-0.016434885287825662,0.02275605917144996,-0.021491794429903677,-0.03666248314068732,0.02275605917144996,-0.03919088958708039,-0.09355263163223526,0.02275605917144996,-0.10366635235987931
0005.HK,HK,2020-05-18,2020-05-19,1,REV_HIGH,28.186405181884766,5,-0.09125489230665962,-0.006337098830535903,-0.10139425014755998,-0.06463860573506441,-0.006337098830535903,-0.11280094864975931,-0.05703415543619028,-0.006337098830535903,-0.11280094864975931
0005.HK,HK,2020-05-18,2020-05-19,1,REV_HIGH+EMA20,28.186405181884766,5,-0.09125489230665962,-0.006337098830535903,-0.10139425014755998,-0.06463860573506441,-0.006337098830535903,-0.11280094864975931,-0.05703415543619028,-0.006337098830535903,-0.11280094864975931
0005.HK,HK,2021-04-23,2021-04-26,1,REV_HIGH,33.02933120727539,6,0.07095330441126757,0.07095330441126757,9.59722350479808e-08,0.04878037512757771,0.09201790168941071,9.59722350479808e-08,0.08980034627480848,0.09534358285894684,9.59722350479808e-08
0005.HK,HK,2021-04-23,2021-04-28,3,PREV5_HIGH,34.7503662109375,6,-0.003161170633178223,0.03793498866268141,-0.009483599662903464,0.020021186440678074,0.03793498866268141,-0.01264476034272699,0.010537454992535444,0.04109596325994591,-0.01264476034272699
0005.HK,HK,2021-04-23,2021-04-27,2,REV_HIGH+EMA20,33.68845748901367,6,0.06195650955410836,0.07065219507114517,0.017390977263697316,0.046739031846877,0.07065219507114517,0.017390977263697316,0.05108689879673567,0.07391280814237966,0.017390977263697316
0005.HK,HK,2021-04-23,2021-04-28,3,BOTH_HIGHS,34.7503662109375,6,-0.003161170633178223,0.03793498866268141,-0.009483599662903464,0.020021186440678074,0.03793498866268141,-0.01264476034272699,0.010537454992535444,0.04109596325994591,-0.01264476034272699
0005.HK,HK,2021-04-23,2021-04-28,3,BOTH_HIGHS+EMA20,34.7503662109375,6,-0.003161170633178223,0.03793498866268141,-0.009483599662903464,0.020021186440678074,0.03793498866268141,-0.01264476034272699,0.010537454992535444,0.04109596325994591,-0.01264476034272699
0005.HK,HK,2021-08-25,2021-08-26,1,REV_HIGH,31.261507034301758,5,-0.016607471138099572,0.0011859217531171584,-0.023724889786096104,-0.018979949582773825,0.0011859217531171584,-0.026097368628156925,-0.04151870835159388,0.0011859217531171584,-0.0450774620853418
0005.HK,HK,2022-04-13,2022-04-19,2,REV_HIGH,40.81227111816406,6,0.013096460763614814,0.030870031421824207,-0.0028063257104141703,-0.07390080955690659,0.030870031421824207,-0.0869971760188819,-0.050514305860940745,0.030870031421824207,-0.11599613712181733
0005.HK,HK,2022-04-13,2022-04-19,2,REV_HIGH+EMA20,40.81227111816406,6,0.013096460763614814,0.030870031421824207,-0.0028063257104141703,-0.07390080955690659,0.030870031421824207,-0.0869971760188819,-0.050514305860940745,0.030870031421824207,-0.11599613712181733
0005.HK,HK,2022-04-19,2022-04-20,1,REV_HIGH,41.194053649902344,6,-0.042632061750713546,0.021316027005696903,-0.05653382230201198,-0.10843369812165715,0.021316027005696903,-0.12418899999723021,-0.06487495710161173,0.021316027005696903,-0.12418899999723021
0005.HK,HK,2022-04-19,2022-04-21,2,PREV5_HIGH,41.995792388916016,6,-0.10000004541761265,-0.011818215443299973,-0.11272733137424196,-0.11181816241247455,-0.011818215443299973,-0.14090904662127834,-0.10909092560640465,-0.011818215443299973,-0.14090904662127834
0005.HK,HK,2022-04-19,2022-04-20,1,REV_HIGH+EMA20,41.194053649902344,6,-0.042632061750713546,0.021316027005696903,-0.05653382230201198,-0.10843369812165715,0.021316027005696903,-0.12418899999723021,-0.06487495710161173,0.021316027005696903,-0.12418899999723021
0005.HK,HK,2022-04-19,2022-04-21,2,BOTH_HIGHS,41.995792388916016,6,-0.10000004541761265,-0.011818215443299973,-0.11272733137424196,-0.11181816241247455,-0.011818215443299973,-0.14090904662127834,-0.10909092560640465,-0.011818215443299973,-0.14090904662127834
0005.HK,HK,2022-04-19,2022-04-21,2,BOTH_HIGHS+EMA20,41.995792388916016,6,-0.10000004541761265,-0.011818215443299973,-0.11272733137424196,-0.11181816241247455,-0.011818215443299973,-0.14090904662127834,-0.10909092560640465,-0.011818215443299973,-0.14090904662127834
0005.HK,HK,2022-07-07,2022-07-08,1,REV_HIGH,38.025272369384766,5,-0.014056143314014724,-0.0010039023528546354,-0.019076128605279186,-0.042168530262095216,-0.0010039023528546354,-0.049196689619505074,-0.024096073703937626,-0.0010039023528546354,-0.049196689619505074
0005.HK,HK,2022-08-25,2022-08-30,3,REV_HIGH,38.046241760253906,5,-0.021363311961565712,-0.004069144302054406,-0.0315362508293805,-0.0071212042519477325,-0.004069144302054406,-0.033570777426252585,-0.0315360741574201,0.0010171856668153012,-0.04069180381039672
0005.HK,HK,2022-09-02,2022-09-06,2,REV_HIGH,37.775306701660156,6,-0.015368737610539474,-0.009221211446273192,-0.033811377282114696,-0.024589980176863202,0.008196760726097985,-0.033811377282114696,-0.02868820922245441,0.008196760726097985,-0.033811377282114696
0005.HK,HK,2023-09-11,2023-09-12,1,REV_HIGH,47.443458557128906,6,0.05004310518807653,0.05694563361611715,0.008628126772556977,0.04745462296508696,0.05694563361611715,0.008628126772556977,0.04227765851910803,0.06039692588673118,0.008628126772556977
0005.HK,HK,2023-09-11,2023-09-14,3,PREV5_HIGH,48.91710662841797,6,0.01589961917836291,0.025104709207662168,0.0016737425684643092,0.017573209945688006,0.025941509625531323,0.0016737425684643092,0.014225950428149448,0.028452029871028905,0.0016737425684643092
0005.HK,HK,2023-09-11,2023-09-13,2,REV_HIGH+EMA20,48.3030891418457,6,0.029661046731791485,0.03813559870569638,0.011016875126071302,0.03559319289879892,0.0389830363332857,0.011016875126071302,0.03135591179056996,0.041525469720541386,0.011016875126071302
0005.HK,HK,2023-09-11,2023-09-14,3,BOTH_HIGHS,48.91710662841797,6,0.01589961917836291,0.025104709207662168,0.0016737425684643092,0.017573209945688006,0.025941509625531323,0.0016737425684643092,0.014225950428149448,0.028452029871028905,0.0016737425684643092
0005.HK,HK,2023-09-11,2023-09-14,3,BOTH_HIGHS+EMA20,48.91710662841797,6,0.01589961917836291,0.025104709207662168,0.0016737425684643092,0.017573209945688006,0.025941509625531323,0.0016737425684643092,0.014225950428149448,0.028452029871028905,0.0016737425684643092
0005.HK,HK,2024-02-14,2024-02-15,1,REV_HIGH,50.908363342285156,5,0.021190121901891956,0.02445005650653953,0.0032600633918273836,-0.02852475196926685,0.03422995389933803,-0.04482467265554935,-0.01792980341725736,0.03422995389933803,-0.04482467265554935
0005.HK,HK,2024-02-14,2024-02-15,1,REV_HIGH+EMA20,50.908363342285156,5,0.021190121901891956,0.02445005650653953,0.0032600633918273836,-0.02852475196926685,0.03422995389933803,-0.04482467265554935,-0.01792980341725736,0.03422995389933803,-0.04482467265554935
0005.HK,HK,2024-09-09,2024-09-10,1,REV_HIGH,61.16556167602539,7,-0.0029627948037271867,0.004444613517112783,-0.02592589003509871,0.009629737962983498,0.011111196964642467,-0.02592589003509871,0.03555547101396184,0.047407253822688844,-0.02592589003509871
0005.HK,HK,2024-09-09,2024-09-10,1,REV_HIGH+EMA20,61.16556167602539,7,-0.0029627948037271867,0.004444613517112783,-0.02592589003509871,0.009629737962983498,0.011111196964642467,-0.02592589003509871,0.03555547101396184,0.047407253822688844,-0.02592589003509871
